PokerStars Tournament #3910308090, No Limit Hold'em
Buy-In: $15.50/$1.00 USD
125 players
Total Prize Pool: $1000.00 USD 
Tournament started 2025/07/21 17:45:00 BRT [2025/07/21 16:45:00 ET]

  1: -Homer_Jay-t (Brazil), still playing
  2: 5napan5 (Canada), still playing
  3: 98steff (Germany), still playing
  4: AlexBlatt16 (Germany), still playing
  5: Atilano2300 (Switzerland), still playing
  6: BC_Pres (Canada), still playing
  7: Bretera (Brazil), still playing
  8: C0C0PoK$r [2] (Argentina), still playing
  9: DrMarcoleptique [2] (Switzerland), still playing
  10: FiddleIsMySenpa (Luxembourg), still playing
  11: HaruoB (Brazil), still playing
  12: Hitmann1000 (Denmark), still playing
  13: INYABISH (Lithuania), still playing
  14: IronHydride (United Kingdom), still playing
  15: Iwillriveryou (Lithuania), still playing
  16: JPM1010 (Brazil), still playing
  17: JackBlack87 [2] (Germany), still playing
  18: JamesLake10 (Chile), still playing
  19: Jorgenz31 (Sweden), still playing
  20: JucaItajai (Brazil), still playing
  21: K1rushka_l (Ukraine), still playing
  22: MJH33 (Denmark), still playing
  23: Malandron_22 [2] (Brazil), still playing
  24: Narchx (Brazil), still playing
  25: Niceman63 [2] (Luxembourg), still playing
  26: Olipoli320 (United Kingdom), still playing
  27: OneSh0tt (Germany), still playing
  28: OrigamiHero (Sweden), still playing
  29: PIankton (Germany), still playing
  30: PokerTilt89 (Thailand), still playing
  31: Polkersta (United Kingdom), still playing
  32: RaZorFaZoR [2] (Germany), still playing
  33: Samskn (Belgium), still playing
  34: Scorpion1629 (Belarus), still playing
  35: Skirmantas16 (Lithuania), still playing
  36: TheEinsameWolf (Austria), still playing
  37: TorukMaktuson (Brazil), still playing
  38: Tractorboy (United Kingdom), still playing
  39: Unleash KATO (Germany), still playing
  40: WrdoKK (Brazil), still playing
  41: Wurst0 (Germany), still playing
  42: andreacla83 (Chile), still playing
  43: aris11100 (Greece), still playing
  44: based4lif3 [2] (Canada), still playing
  45: bench0815 [2] (Austria), still playing
  46: billsa2808 [2] (Slovenia), still playing
  47: bunyi75 (Hungary), still playing
  48: c133 [3] (Canada), still playing
  49: cebolinha_rs (Brazil), still playing
  50: d0d0s385 (Greece), still playing
  51: elle89 (Germany), still playing
  52: eu_ygy (Romania), still playing
  53: grga29 (Slovenia), still playing
  54: kingspoofer (Ireland), still playing
  55: koshmaar (Estonia), still playing
  56: leoduarte13 [2] (Brazil), still playing
  57: lukebadass (Germany), still playing
  58: mikeyp41 (United Kingdom), still playing
  59: oli178 (Belgium), still playing
  60: onkeltarty (Sweden), still playing
  61: perfectman2 (Greece), still playing
  62: perle2712 (Austria), still playing
  63: sergiopoker1976 (Canada), still playing
  64: stefan638 [2] (Germany), still playing
  65: taiguri33 [2] (Finland), still playing
  66: thedon_da (Bulgaria), still playing
  67: tumtchoute [2] (Belgium), still playing
  68: udonhime (Japan), still playing
  69: xavante89 (Brazil), still playing
  70: ximax5poker (Switzerland), still playing
  71: zagalo89 (Denmark), still playing
  72: |&&Sys|TeamPro (Belarus), still playing
  73: TIGHTPRO87 (United Kingdom), 
  74: Gabrielfs13 (Brazil), 
  75: simonee89 [3] (United Kingdom), 
  76: Bobo478 (Belgium), 
  77: billsa2808 (Slovenia), 
  78: Berkowitz33 (Brazil), 
  79: RaZorFaZoR (Germany), 
  80: henriqueschi (Brazil), 
  81: tririton (Luxembourg), 
  82: Randall37 [2] (Denmark), 
  83: xumAKo (Brazil), 
  84: WPTdibby [2] (Canada), 
  85: KArro:(doido (Brazil), 
  86: Theo7171 (Canada), 
  87: SkyScraper93 [2] (Finland), 
  88: GuiTuoBei (Brazil), 
  89: based4lif3 (Canada), 
  90: oquesou7 (Brazil), 
  91: stefan638 (Germany), 
  92: bench0815 (Austria), 
  93: dholanda283 (Brazil), 
  94: Paulada007 (Brazil), 
  95: Kierendawson (United Kingdom), 
  96: c133 [2] (Canada), 
  97: popayed (Brazil), 
  98: eaaeman (Brazil), 
  99: DrMarcoleptique (Switzerland), 
  100: SkyScraper93 (Finland), 
  101: darkpirner [2] (Germany), 
  102: ChaqueñoLoto [2] (Argentina), 
  103: Sir Art89 (Germany), 
  104: FS5032 [2] (Switzerland), 
  105: Fobia Kid (Slovakia), 
  106: JackBlack87 (Germany), 
  107: FilipeJL03 (Brazil), 
  108: simonee89 [2] (United Kingdom), 
  109: LauNuxel (Denmark), 
  110: C0C0PoK$r (Argentina), 
  111: simonee89 (United Kingdom), 
  112: Malandron_22 (Brazil), 
  113: taiguri33 (Finland), 
  114: FS5032 (Switzerland), 
  115: X!DoMyBestX (Ukraine), 
  116: leoduarte13 (Brazil), 
  117: bubs26 (Sweden), 
  118: vasiliadis-r (Greece), 
  119: darkpirner (Germany), 
  120: tumtchoute (Belgium), 
  121: ChaqueñoLoto (Argentina), 
  122: Niceman63 (Luxembourg), 
  123: c133 (Canada), 
  124: Randall37 (Denmark), 
  125: WPTdibby (Canada), 
You finished the tournament (eliminated at hand #257038091152).


