PokerStars Tournament #3910307504, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
135 players
Total Prize Pool: $1001.00 USD 
Tournament started 2025/07/23 12:10:00 BRT [2025/07/23 11:10:00 ET]

  1: 0PTI-MEN (Brazil), still playing
  2: AbulFadl (Estonia), still playing
  3: BIGGBO$$6 (Argentina), still playing
  4: BOLIS_CTBA (Brazil), still playing
  5: DiMastodon (Brazil), still playing
  6: Dincheh (United Kingdom), still playing
  7: Elreydelcasino (Argentina), still playing
  8: EriVini3 (Brazil), still playing
  9: F Moraes 7 (Brazil), still playing
  10: GenteFina93 (Brazil), still playing
  11: JRuiJr (Brazil), still playing
  12: KkHurleyBrkK (Brazil), still playing
  13: LuanCaruso (Brazil), still playing
  14: Maartensyen (Belgium), still playing
  15: Magnusfam (Faroe Islands), still playing
  16: MarcosTroty (Brazil), still playing
  17: Miranda1410 (Brazil), still playing
  18: No One There (Latvia), still playing
  19: Ozerkus (Switzerland), still playing
  20: PokerPlayer900 (Greece), still playing
  21: RodrigoC1914 (Brazil), still playing
  22: Rpfeitosa (Brazil), still playing
  23: SEQUELADZ (Brazil), still playing
  24: SergeySil83 (Belarus), still playing
  25: Slavyan90 (Ukraine), still playing
  26: SokolovS23 (Belarus), still playing
  27: SolomonStar (United Kingdom), still playing
  28: Tavares910 (Brazil), still playing
  29: TheDomotron (United Kingdom), still playing
  30: Trotskiy A. (Ukraine), still playing
  31: UnrealStars (Ukraine), still playing
  32: Vredn1yy (Kazakhstan), still playing
  33: adem0w (Belgium), still playing
  34: areshatar97 (Bulgaria), still playing
  35: aschyl (Austria), still playing
  36: based4lif3 [2] (Canada), still playing
  37: burakostmz (Brazil), still playing
  38: chêne22 [2] (Switzerland), still playing
  39: claudinei25 (Brazil), still playing
  40: cucabeludinhooo (Brazil), still playing
  41: dymasnsk (Kyrgyzstan), still playing
  42: eaaeman [2] (Brazil), still playing
  43: fr4wtz (Brazil), still playing
  44: ftragueta (Brazil), still playing
  45: ga_augusto96 (Brazil), still playing
  46: hudsondiego8 (Brazil), still playing
  47: janeymorris99 (United Kingdom), still playing
  48: joh.manetta (Brazil), still playing
  49: keyhell (Brazil), still playing
  50: kirklarsen85 (Denmark), still playing
  51: kprock1 (Canada), still playing
  52: leonutri86 (Brazil), still playing
  53: maetaz (Kazakhstan), still playing
  54: mikkelangel0 (Denmark), still playing
  55: polentani (Brazil), still playing
  56: running0uts (United Kingdom), still playing
  57: sergiinhome (Brazil), still playing
  58: stayClean14 (Belarus), still playing
  59: terryhis1 [2] (Canada), still playing
  60: titan2706 (Brazil), still playing
  61: tjaalz (Belgium), still playing
  62: traumfanger1 (Switzerland), still playing
  63: vbtrevizani (Brazil), still playing
  64: xotinh0 (Brazil), still playing
  65: Gabrielfs13 (Brazil), 
  66: Lev_Patrik (Ukraine), 
  67: SD ANDRE (Brazil), 
  68: sweetcandy12 (Sweden), 
  69: Gamblex21 (Belgium), 
  70: fanmetallica (Argentina), 
  71: Killinfields (Romania), 
  72: dtfmano18 (Brazil), 
  73: danilo_pegas (Ukraine), 
  74: AllanEM (Guatemala), 
  75: TAffonsoBR (Brazil), 
  76: gomsipjorn (Sweden), 
  77: Meryl Fox [2] (Belgium), 
  78: Nedved333 (Ukraine), 
  79: kaet27 (Brazil), 
  80: connollylj (United Kingdom), 
  81: nachi2112 (Argentina), 
  82: EullerSantos (Brazil), 
  83: EmptyHouse82 (Brazil), 
  84: JaSaToCo (United Kingdom), 
  85: MarkyMarcD (United Kingdom), 
  86: berhan660 (Finland), 
  87: jejealves1 (Brazil), 
  88: Bozo Bozal (Brazil), 
  89: Now27 (Brazil), 
  90: Typucm (Belarus), 
  91: tavaresdemelo (Brazil), 
  92: thccc97 (Brazil), 
  93: IIIINGENSSSS [2] (Canada), 
  94: Meryl Fox (Belgium), 
  95: maksimilyan8 (Ukraine), 
  96: Striker'1992 (Brazil), 
  97: ICE_SHUM (Armenia), 
  98: onlyjack14 (Argentina), 
  99: daur0204 (Kazakhstan), 
  100: U&A&J (Sweden), 
  101: hombre g [2] (Mexico), 
  102: NCANeto (Brazil), 
  103: shady3xv (Ukraine), 
  104: 1xoNe (Belarus), 
  105: Casper duch (United Kingdom), 
  106: kriso976 (Bulgaria), 
  107: Kreisaa_ola (Latvia), 
  108: Sh00ji1 (Brazil), 
  109: GustavoWSOP (Brazil), 
  110: loaderpoke (United Kingdom), 
  111: hombre g (Mexico), 
  112: joeavfc99 (United Kingdom), 
  113: NalazSednecs (Hungary), 
  114: X!DoMyBestX (Ukraine), 
  115: hameleon69 (Ukraine), 
  116: C0sm0 M!nd [2] (Brazil), 
  117: SanayCASINO (Ukraine), 
  118: chêne22 (Switzerland), 
  119: AshModai90 (Estonia), 
  120: ElTalaJavi [2] (Argentina), 
  121: based4lif3 (Canada), 
  122: bambam0500 (Brazil), 
  123: zeba193 (Brazil), 
  124: Fe_errou (Brazil), 
  125: K.C2410 (Germany), 
  126: terryhis1 (Canada), 
  127: IIIINGENSSSS (Canada), 
  128: I.Shkriblyak (Ukraine), 
  129: vandal1st (Ukraine), 
  130: ElTalaJavi (Argentina), 
  131: eaaeman (Brazil), 
  132: ouchbigslick (Ukraine), 
  133: yetty2021 (United Kingdom), 
  134: Nikki10000 (Germany), 
  135: C0sm0 M!nd (Brazil), 
You finished the tournament (eliminated at hand #257059519511).


