PokerStars Tournament #3910307582, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
124 players
Total Prize Pool: $892.80 USD 
Tournament started 2025/07/23 16:25:00 BRT [2025/07/23 15:25:00 ET]

  1: 1887Hamburg89 (Germany), still playing
  2: AamiUa [2] (Ukraine), still playing
  3: C0sm0 M!nd (Brazil), still playing
  4: Clarkey95 (Canada), still playing
  5: EL Mejor 562 (Germany), still playing
  6: ErDodoen (Switzerland), still playing
  7: GdeMoyNosok (Ukraine), still playing
  8: Greyhairs (New Zealand), still playing
  9: I_che_tut_delat (Belarus), still playing
  10: Lavraaa (Ukraine), still playing
  11: Mookishor (Romania), still playing
  12: NiKKy.BY (Belarus), still playing
  13: Robbie.A.07 (United Kingdom), still playing
  14: RodriguesDu (Brazil), still playing
  15: Rpfeitosa (Brazil), still playing
  16: Sperring4 (United Kingdom), still playing
  17: Themotion13 (Brazil), still playing
  18: WhaLucky (Belarus), still playing
  19: betmeanother22 (United Kingdom), still playing
  20: burakostmz (Brazil), still playing
  21: chaavees (Brazil), still playing
  22: dav_gzl (Belgium), still playing
  23: elmolind88 (Finland), still playing
  24: hayashi12 (Brazil), still playing
  25: kiwis1966 (Belgium), still playing
  26: kugut1k (Ukraine), still playing
  27: sebaff92 (Argentina), still playing
  28: w4lrusk4ne [2] (Belgium), still playing
  29: Gabrielfs13 (Brazil), 
  30: EullerSantos (Brazil), 
  31: GenteFina93 (Brazil), 
  32: WPTdibby (Canada), 
  33: Vladpiton (Ukraine), 
  34: giwestin (Brazil), 
  35: Lilucali (Brazil), 
  36: Arunas_Idas (Latvia), 
  37: IIIINGENSSSS [2] (Canada), 
  38: SrTibu (Argentina), 
  39: beastyboy1094 (New Zealand), 
  40: therivr (United Kingdom), 
  41: livred383 (Brazil), 
  42: GRSRPC (Brazil), 
  43: Karching (United Kingdom), 
  44: chrisildur87 (Greece), 
  45: Cacky84 (Germany), 
  46: skianu [2] (Brazil), 
  47: Value_Mark (United Kingdom), 
  48: Isildur7777 (Ireland), 
  49: SanayCASINO (Ukraine), 
  50: alexdaas (Belarus), 
  51: kinder_bueeno (Romania), 
  52: Spudheads (United Kingdom), 
  53: Steph261200 (Mexico), 
  54: lejaon27 (Ukraine), 
  55: OMGItsaShark (Brazil), 
  56: Tupukana (Mexico), 
  57: bergue12 (Brazil), 
  58: Kari7721 (Ukraine), 
  59: Gostweb (Belarus), 
  60: Nastia3492 (Belarus), 
  61: ouchbigslick (Ukraine), 
  62: Sheamus_BR (Brazil), 
  63: sapao32 (Brazil), 
  64: PanssaCPA (Brazil), 
  65: MrJeffwaa (United Kingdom), 
  66: Alex Kapunov (Moldova), 
  67: kevindelucci [2] (Brazil), 
  68: Daveyb 363 (United Kingdom), 
  69: Ø 88 (Brazil), 
  70: The Villan73 [2] (United Kingdom), 
  71: kaet27 (Brazil), 
  72: UnrealStars (Ukraine), 
  73: roma36355 (Brazil), 
  74: rolland7 (Canada), 
  75: Bee Larus (Belarus), 
  76: SD ANDRE (Brazil), 
  77: CANELA69 (Brazil), 
  78: CJBastard10 (Canada), 
  79: Landybob (United Kingdom), 
  80: TheDomotron (United Kingdom), 
  81: The Villan73 (United Kingdom), 
  82: misfortuned (Belarus), 
  83: ovinidesouza (Brazil), 
  84: Jonnnyxd (Brazil), 
  85: momente07 (Brazil), 
  86: Lico HC (Brazil), 
  87: athilapvh (Brazil), 
  88: gota06 (Brazil), 
  89: pulpvince203 (Malta), 
  90: DBojack (Brazil), 
  91: black~day1337 (Belarus), 
  92: Cristinanr (Romania), 
  93: CAILLOU1488 (Ukraine), 
  94: JUCA_PIRAMA1 (Brazil), 
  95: 24DJ24 [2] (Switzerland), 
  96: Chessurgeon (Brazil), 
  97: Magicalman3 (United Kingdom), 
  98: Knoxtod (Latvia), 
  99: Kadronchik (Belarus), 
  100: Runov (Mexico), 
  101: alleyman44 (Canada), 
  102: IIIINGENSSSS (Canada), 
  103: Emanuel-R$BR (Brazil), 
  104: DiveRgent14 (Canada), 
  105: Apache322228 (Ukraine), 
  106: 24DJ24 (Switzerland), 
  107: PaddysBigToe (United Kingdom), 
  108: blomman5 [2] (Sweden), 
  109: kevindelucci (Brazil), 
  110: SHARA666 (Ukraine), 
  111: meinapoker (Argentina), 
  112: VSSobrinho (Brazil), 
  113: Leeks78 (United Kingdom), 
  114: anelyse88 (Romania), 
  115: Elreydelcasino (Argentina), 
  116: AamiUa (Ukraine), 
  117: ManiacParty (Canada), 
  118: alexzur420 (United Kingdom), 
  119: MestreGarcia (Brazil), 
  120: skianu (Brazil), 
  121: w4lrusk4ne (Belgium), 
  122: deywd (Brazil), 
  123: joshporter14 (United Kingdom), 
  124: blomman5 (Sweden), 

You finished in 29th place (eliminated at hand #257063508937).


