PokerStars Tournament #3912297900, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
94 players
Total Prize Pool: $451.20 USD 
Tournament started 2025/07/24 14:41:41 BRT [2025/07/24 13:41:41 ET]

  1: Hubero-59 [2] (Switzerland), still playing
  2: Klasev [2] (Lithuania), still playing
  3: Malevsito [2] (Costa Rica), still playing
  4: MaxiJay-1409 [2] (United Kingdom), still playing
  5: MikeH2019 (United Kingdom), still playing
  6: Núbia (Brazil), still playing
  7: Pellone23 (Switzerland), still playing
  8: Scoobidom138 (Switzerland), still playing
  9: chokata (Bulgaria), still playing
  10: cjmg3011 (Switzerland), still playing
  11: eaaeman (Brazil), still playing
  12: hotshotknick (Sweden), still playing
  13: hulidelat (Ukraine), still playing
  14: kdawson1995 (United Kingdom), still playing
  15: kevindelucci (Brazil), still playing
  16: knerrad29 (United Kingdom), still playing
  17: leonutri86 (Brazil), still playing
  18: losscreeners (Argentina), still playing
  19: moreno20y10 (Dominican Republic), still playing
  20: muly 7777 [2] (Belarus), still playing
  21: scofieldm25 (Slovenia), still playing
  22: spooker (Canada), still playing
  23: Gabrielfs13 (Brazil), 
  24: onlydrunkreg (Brazil), 
  25: banderinha (Brazil), 
  26: BC_Pres (Canada), 
  27: JustPro10 (Bulgaria), 
  28: blackleaver220 (Greece), 
  29: Mikker85 [2] (Estonia), 
  30: WellHandy [2] (United Kingdom), 
  31: TheDorkSlayer (United Kingdom), 
  32: Feattony (Switzerland), 
  33: Kellerkind60 (Germany), 
  34: antonbror (Sweden), 
  35: iv0909 (Brazil), 
  36: sayik66 (United Kingdom), 
  37: ovidiuzxc [2] (Romania), 
  38: juñior75 (Mexico), 
  39: 1Rolts1 [2] (Estonia), 
  40: plesnicata (Bulgaria), 
  41: mayka2000 (Germany), 
  42: ZMLucker (United Kingdom), 
  43: Brunaozera (Brazil), 
  44: Tiamat911 (Switzerland), 
  45: Jdgonher (Mexico), 
  46: SamF10 (United Kingdom), 
  47: xaris47 (Greece), 
  48: SuedeChick (Finland), 
  49: Niceman63 (Luxembourg), 
  50: Danlaus (Brazil), 
  51: ovidiuzxc (Romania), 
  52: jasonc7 (United Kingdom), 
  53: actionkima11 (Sweden), 
  54: nicoguti007 (Argentina), 
  55: Bozo Bozal (Brazil), 
  56: p_coxinha (Brazil), 
  57: WellHandy (United Kingdom), 
  58: PuercoRicoo (Switzerland), 
  59: badknife (Brazil), 
  60: Hubero-59 (Switzerland), 
  61: Robaloflexa (Brazil), 
  62: sexynanny [4] (Canada), 
  63: EvilChris321 (United Kingdom), 
  64: lykketil86 (Canada), 
  65: PietroSk1 (Slovakia), 
  66: RamiRami1990 (Brazil), 
  67: RDSlong (Ukraine), 
  68: Mikker85 (Estonia), 
  69: ARISTOTEL300 (Ukraine), 
  70: bertola12 (Brazil), 
  71: polentani (Brazil), 
  72: lalas1717 (Greece), 
  73: MaxiJay-1409 (United Kingdom), 
  74: Malevsito (Costa Rica), 
  75: advluzj (Brazil), 
  76: 1Rolts1 (Estonia), 
  77: CaioP (Brazil), 
  78: hyppiespec (United Kingdom), 
  79: AlexSSS1000rr (Brazil), 
  80: sexynanny [3] (Canada), 
  81: marianos 1 (Belgium), 
  82: ElTigr0 (Belgium), 
  83: PsychOrwell (Germany), 
  84: IIIINGENSSSS (Canada), 
  85: muly 7777 (Belarus), 
  86: Taracus195 (Sweden), 
  87: 77edo (Hungary), 
  88: louisbinns (United Kingdom), 
  89: Klasev (Lithuania), 
  90: Fischkop993 (Germany), 
  91: V.Suzuki7 (Brazil), 
  92: sexynanny [2] (Canada), 
  93: Wadist (Belgium), 
  94: sexynanny (Canada), 

You finished in 23rd place (eliminated at hand #257073251977).


