PokerStars Tournament #3912600275, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
94 players
Total Prize Pool: $451.20 USD 
Tournament started 2025/07/25 13:45:27 BRT [2025/07/25 12:45:27 ET]

  1: Effe192 [2] (Sweden), still playing
  2: Giedrys_AA (Lithuania), still playing
  3: HansSolo9876 (Canada), still playing
  4: Malandron_22 (Brazil), still playing
  5: TSELEPI (Germany), still playing
  6: VintageBruce (Belgium), still playing
  7: ZMLucker [4] (United Kingdom), still playing
  8: areshatar97 (Bulgaria), still playing
  9: badknife (Brazil), still playing
  10: danielf999 (Brazil), still playing
  11: dasilv2609 (Belgium), still playing
  12: juñior75 [2] (Mexico), still playing
  13: liquidbrik (United Kingdom), still playing
  14: theristis88 (Greece), still playing
  15: wladi1986 (Germany), still playing
  16: Gabrielfs13 (Brazil), 
  17: Rebozeio (Brazil), 
  18: DiMastodon (Brazil), 
  19: louisbinns (United Kingdom), 
  20: lizzy1971 (Germany), 
  21: Enigma5557 (Mexico), 
  22: ottorocket22 (Brazil), 
  23: T0bzen [2] (Denmark), 
  24: KM9984 (United Kingdom), 
  25: Burgisser-007 (Switzerland), 
  26: SLO8NIE (United Kingdom), 
  27: Olike09 (Canada), 
  28: PuercoRicoo (Switzerland), 
  29: hulidelat (Ukraine), 
  30: bacood [2] (Austria), 
  31: ChocASpique (Switzerland), 
  32: Euqitna (Sweden), 
  33: sexynanny [3] (Canada), 
  34: Phraya Suren [4] (Thailand), 
  35: hurja1988 (Romania), 
  36: jotacabral [3] (Brazil), 
  37: Phraya Suren [3] (Thailand), 
  38: perninha1977 [2] (Brazil), 
  39: jotacabral [2] (Brazil), 
  40: Phraya Suren [2] (Thailand), 
  41: GiovaniMB (Brazil), 
  42: MrMortgage1 (United Kingdom), 
  43: sliwsen [2] (Denmark), 
  44: ZMLucker [3] (United Kingdom), 
  45: stujenkins10 [3] (United Kingdom), 
  46: RDSlong (Ukraine), 
  47: perninha1977 (Brazil), 
  48: phatgirls (United Kingdom), 
  49: chokata (Bulgaria), 
  50: sliwsen (Denmark), 
  51: Phraya Suren (Thailand), 
  52: 2D0NKY (Switzerland), 
  53: progzx (Denmark), 
  54: stujenkins10 [2] (United Kingdom), 
  55: slamgr [2] (Greece), 
  56: Zolli24 (Germany), 
  57: rafinhasuetomi (Brazil), 
  58: KOORDINATOR1981 (Slovenia), 
  59: Lucifer2024 (Argentina), 
  60: sexynanny [2] (Canada), 
  61: XxMvPokeRxX (Brazil), 
  62: AkAndyAnd (Denmark), 
  63: bmaans [4] (Denmark), 
  64: juangrillo78 (Argentina), 
  65: Blufflillo (Chile), 
  66: jotacabral (Brazil), 
  67: bmaans [3] (Denmark), 
  68: stujenkins10 (United Kingdom), 
  69: ZMLucker [2] (United Kingdom), 
  70: Fischkop993 (Germany), 
  71: bmaans [2] (Denmark), 
  72: Matheus7Augusto (Brazil), 
  73: johny_mac32 (Greece), 
  74: plesnicata (Bulgaria), 
  75: Onska10 (Finland), 
  76: radisa52 (Austria), 
  77: sayik66 (United Kingdom), 
  78: bacood (Austria), 
  79: eaaeman (Brazil), 
  80: juñior75 (Mexico), 
  81: aivaaaras (United Kingdom), 
  82: Effe192 (Sweden), 
  83: CaioP (Brazil), 
  84: BangoSmalls (Austria), 
  85: 0xkofre (Brazil), 
  86: TOTO_VILKS (Latvia), 
  87: ZMLucker (United Kingdom), 
  88: Griffindor7 (Germany), 
  89: sexynanny (Canada), 
  90: slamgr (Greece), 
  91: bmaans (Denmark), 
  92: kriso976 (Bulgaria), 
  93: diegoppokerAA (Brazil), 
  94: T0bzen (Denmark), 

You finished in 16th place (eliminated at hand #257085329472).


