PokerStars Tournament #3916203269, No Limit Hold'em
Buy-In: $15.50/$1.00 USD
165 players
Total Prize Pool: $1237.50 USD 
Tournament started 2025/08/07 17:45:00 BRT [2025/08/07 16:45:00 ET]

  1: Bianco13Verde (Greece), still playing
  2: Citrone88 (United Kingdom), still playing
  3: Curt360x (United Kingdom), still playing
  4: GARYTHEROCK (United Kingdom), still playing
  5: Gunterclem (United Kingdom), still playing
  6: Jackomino22 (Canada), still playing
  7: Mkloster [2] (Denmark), still playing
  8: Mr.PokerGold (Sweden), still playing
  9: Murich [2] (Germany), still playing
  10: Naslund44 (Canada), still playing
  11: NorBaggio (Hungary), still playing
  12: PeterPanic74 (Germany), still playing
  13: PredictionError [3] (Slovakia), still playing
  14: Silton (United Kingdom), still playing
  15: Skirmantas16 [2] (Lithuania), still playing
  16: TorukMaktuson [2] (Brazil), still playing
  17: adem0w (Belgium), still playing
  18: brian101010 (Denmark), still playing
  19: caio_conrado13 (Brazil), still playing
  20: cpblades (Canada), still playing
  21: diegoleon9 (Argentina), still playing
  22: dogao79 (Brazil), still playing
  23: feckinace (United Kingdom), still playing
  24: flash999192 (United Kingdom), still playing
  25: gbsk1980 (Ireland), still playing
  26: hayashi12 (Brazil), still playing
  27: joeee8 (United Kingdom), still playing
  28: jurzak (Finland), still playing
  29: leoduarte13 [2] (Brazil), still playing
  30: makuba22 (Estonia), still playing
  31: mikey5745 (United Kingdom), still playing
  32: mousias99 [2] (Greece), still playing
  33: pokerkoenigp (Austria), still playing
  34: wengrow01 [2] (United Kingdom), still playing
  35: wizarinho (Germany), still playing
  36: alex22243 [2] (Germany), 
  37: WolfyKrilovs (United Kingdom), 
  38: Gabrielfs13 (Brazil), 
  39: denan17 [2] (Sweden), 
  40: Mikael Jay [2] (Germany), 
  41: tulingyn (Brazil), 
  42: Obnylyator [2] (Ukraine), 
  43: RaZorFaZoR [3] (Germany), 
  44: Philip929292929 (Sweden), 
  45: MoFugger21 (Canada), 
  46: atothemanda (Sweden), 
  47: Silvia44 (Austria), 
  48: ediguadro [3] (Finland), 
  49: Malandron_22 (Brazil), 
  50: mr.bluemi (Germany), 
  51: eaaeman (Brazil), 
  52: keawit [2] (Belgium), 
  53: AslanBey1980 (Sweden), 
  54: McCann1874 (United Kingdom), 
  55: it5tricky (United Kingdom), 
  56: Second sheet [3] (Japan), 
  57: alfred_bebbek (Sweden), 
  58: GueSs^TwiCe [2] (Slovakia), 
  59: Mtzn (Brazil), 
  60: quin026 (Argentina), 
  61: Humle333511 (Denmark), 
  62: d0d0s385 [2] (Greece), 
  63: Stago44 (Germany), 
  64: Tractorboy (United Kingdom), 
  65: Estiris (Sweden), 
  66: ccsandy [2] (United Kingdom), 
  67: MomentoMo (Germany), 
  68: Bi3r3Blanch3 (Switzerland), 
  69: Moulagow (Ireland), 
  70: zackmonkman1 (United Kingdom), 
  71: EstonianDonk (Finland), 
  72: MDSS767 (Canada), 
  73: Murich (Germany), 
  74: ediguadro [2] (Finland), 
  75: ccsandy (United Kingdom), 
  76: jwengrow (United Kingdom), 
  77: and_42 (Finland), 
  78: EASYBOTKA (Hungary), 
  79: cornetto07 (Austria), 
  80: mmakis2000 (Greece), 
  81: keawit (Belgium), 
  82: Clemi26 [2] (Germany), 
  83: g0t0hell (Hungary), 
  84: ediguadro (Finland), 
  85: arnstoll [2] (Germany), 
  86: alex22243 (Germany), 
  87: arnstoll (Germany), 
  88: d0d0s385 (Greece), 
  89: jurezz (Germany), 
  90: enaskank13 (Greece), 
  91: vaganchik77777 (Armenia), 
  92: N0Mistake91 (Germany), 
  93: Sabin737 (Romania), 
  94: RaZorFaZoR [2] (Germany), 
  95: silna_rakia [2] (Bulgaria), 
  96: ronaldo22212 (Brazil), 
  97: Mikael Jay (Germany), 
  98: GueSs^TwiCe (Slovakia), 
  99: asgerjl [2] (Denmark), 
  100: jenham19 (United Kingdom), 
  101: youaregroot (United Kingdom), 
  102: clocc195 (United Kingdom), 
  103: TiagoSouzaNS (Brazil), 
  104: HeavyNDark (United Kingdom), 
  105: fjafontenele (Brazil), 
  106: leoduarte13 (Brazil), 
  107: Waxerwurf (Germany), 
  108: wengrow01 (United Kingdom), 
  109: denan17 (Sweden), 
  110: setflopper14 [2] (Germany), 
  111: Second sheet [2] (Japan), 
  112: gbnio (Greece), 
  113: Terrorminchen (Germany), 
  114: asgerjl (Denmark), 
  115: Mkloster (Denmark), 
  116: mr paisti66 (Finland), 
  117: MickyDonovan (United Kingdom), 
  118: PredictionError [2] (Slovakia), 
  119: Garr115 (Ireland), 
  120: Clemi26 (Germany), 
  121: iliyan89 [3] (Bulgaria), 
  122: p3gn (Switzerland), 
  123: mousias99 (Greece), 
  124: hempot1 (Switzerland), 
  125: liaserg (Uzbekistan), 
  126: DANEE P666 [2] (Romania), 
  127: chaavees [2] (Brazil), 
  128: Skirmantas16 (Lithuania), 
  129: pagge40 (Sweden), 
  130: keyhell (Brazil), 
  131: Kierendawson (United Kingdom), 
  132: RaZorFaZoR (Germany), 
  133: Nushka555 [2] (Germany), 
  134: iliyan89 [2] (Bulgaria), 
  135: xxJonasxx420 [3] (Germany), 
  136: Playboyszki (United Kingdom), 
  137: chaavees (Brazil), 
  138: k17w [2] (Austria), 
  139: TorukMaktuson (Brazil), 
  140: udonhime (Japan), 
  141: Nushka555 (Germany), 
  142: iliyan89 (Bulgaria), 
  143: PredictionError (Slovakia), 
  144: cragster219 (United Kingdom), 
  145: k17w (Austria), 
  146: Jamie D3 (United Kingdom), 
  147: Obnylyator (Ukraine), 
  148: DANEE P666 (Romania), 
  149: Pelckito (Brazil), 
  150: xxJonasxx420 [2] (Germany), 
  151: setflopper14 (Germany), 
  152: myyco (Slovenia), 
  153: peace&loove (Austria), 
  154: DonTom65 (Germany), 
  155: jeroen44 (Luxembourg), 
  156: vlihas (Greece), 
  157: Second sheet (Japan), 
  158: Elrenato98 (Ecuador), 
  159: sebaarce (Argentina), 
  160: JonzStars (Brazil), 
  161: makedgr (Greece), 
  162: silna_rakia (Bulgaria), 
  163: xxJonasxx420 (Germany), 
  164: Paulada007 (Brazil), 
  165: kriso976 (Bulgaria), 

You finished in 38th place (eliminated at hand #257254043731).


