PokerStars Tournament #3916851811, No Limit Hold'em
Buy-In: $6.69/$0.81 USD
595 players
Total Prize Pool: $3980.55 USD 
Tournament started 2025/08/13 12:00:00 BRT [2025/08/13 11:00:00 ET]

  1: $$tr8 Hemp (Brazil), still playing
  2: 0PTI-MEN (Brazil), still playing
  3: 123Served (Canada), still playing
  4: 2mare [2] (Austria), still playing
  5: A.K Mour7 (United Kingdom), still playing
  6: ALEX_kingpk (Brazil), still playing
  7: Alba1982822 [2] (Romania), still playing
  8: Aliaksandr144 (Belarus), still playing
  9: BIGTIMUK (United Kingdom), still playing
  10: Backcelebrator (Malta), still playing
  11: BaladeiroTV (Brazil), still playing
  12: Benfica10 (Canada), still playing
  13: BjarturD (Iceland), still playing
  14: Bozo Bozal (Brazil), still playing
  15: Danilo611 (Uruguay), still playing
  16: DiMastodon (Brazil), still playing
  17: DirJr90 (Brazil), still playing
  18: Elvispen (Sweden), still playing
  19: Erica2131 (Hungary), still playing
  20: FFtonny [2] (Brazil), still playing
  21: FIDRINI (Brazil), still playing
  22: Felipe DB (Brazil), still playing
  23: FerXXX (Brazil), still playing
  24: Fezitz [3] (Brazil), still playing
  25: Franco2992 [2] (Argentina), still playing
  26: Fred10rabelo (Brazil), still playing
  27: Fusco663 (Brazil), still playing
  28: G.Cirnee (Brazil), still playing
  29: G_AlvesCP (Brazil), still playing
  30: GodNemes1s [2] (Finland), still playing
  31: Gomide30 (Brazil), still playing
  32: Gugrand (Brazil), still playing
  33: HITman7682 (United Kingdom), still playing
  34: HappyOKA [2] (Belarus), still playing
  35: Henk88 [2] (Germany), still playing
  36: Heronville (Brazil), still playing
  37: IMorningStar666 [2] (Brazil), still playing
  38: JBizzle193 [2] (United Kingdom), still playing
  39: JUCA_PIRAMA1 (Brazil), still playing
  40: JapaSawada (Brazil), still playing
  41: Jonnnyxd (Brazil), still playing
  42: Joris2210 [2] (Belgium), still playing
  43: Jud Kru (Argentina), still playing
  44: Just rag it (Ireland), still playing
  45: Laeyz7 (Germany), still playing
  46: Limpfer (Lithuania), still playing
  47: Lucramos96 (Brazil), still playing
  48: MBruno777 (Brazil), still playing
  49: Machidon7 (Romania), still playing
  50: Mariana Caet [2] (Brazil), still playing
  51: MatheusAny (Brazil), still playing
  52: MatheusSV99 (Brazil), still playing
  53: Mitaipynandi [2] (Paraguay), still playing
  54: Mizael nishi [2] (Brazil), still playing
  55: MonsieurK6nO (Belgium), still playing
  56: NiceBleff20 (Brazil), still playing
  57: Nicolaslq (Argentina), still playing
  58: Nilton AAndrade [2] (Brazil), still playing
  59: OMGSOMKEWEED (Switzerland), still playing
  60: Olsaf2632 (Belarus), still playing
  61: PMoulin (Brazil), still playing
  62: PansaRN (Brazil), still playing
  63: Pedro Enr751 (Brazil), still playing
  64: Pibuno (Brazil), still playing
  65: Pierre697969 (Switzerland), still playing
  66: Pinturita69 [2] (Gibraltar), still playing
  67: PokerAlex84 (Germany), still playing
  68: RamiRami1990 (Brazil), still playing
  69: RastaBeats420 (Brazil), still playing
  70: RealiQ (Slovakia), still playing
  71: Rpet43 (Brazil), still playing
  72: SOT Pacoca (Brazil), still playing
  73: SlimShame [2] (Belgium), still playing
  74: SmiroleBro (Switzerland), still playing
  75: SobeeDF [2] (United Kingdom), still playing
  76: Sokol_3188 (Ukraine), still playing
  77: SurfistãoJr (Brazil), still playing
  78: TankerDeath (Brazil), still playing
  79: Tibiano2 (Brazil), still playing
  80: Titivan2224 (Belgium), still playing
  81: Urlaubsland [2] (Germany), still playing
  82: VitalyRostov (Kazakhstan), still playing
  83: WhyNotIzzy (Germany), still playing
  84: XITÃOZINHO (Brazil), still playing
  85: babarolad (Belgium), still playing
  86: bieldlc (Brazil), still playing
  87: blackleaver220 [2] (Greece), still playing
  88: bluenose51 (United Kingdom), still playing
  89: bogdanel27 [2] (Romania), still playing
  90: bordateam (Brazil), still playing
  91: cheapplayer1 [2] (Canada), still playing
  92: chevim97 (Brazil), still playing
  93: cobrastyle26 (Brazil), still playing
  94: comeonrsca (Belgium), still playing
  95: damjanos (Slovenia), still playing
  96: daniel.v9889 (Brazil), still playing
  97: derci_bueno (Brazil), still playing
  98: edhtu (Argentina), still playing
  99: edupertence (Brazil), still playing
  100: eepi1 (Finland), still playing
  101: epsiliion195 (Mexico), still playing
  102: exzo-sa (Slovakia), still playing
  103: fatido303 (Denmark), still playing
  104: fer_rinald (Brazil), still playing
  105: feruxo (Brazil), still playing
  106: gangster4mzz (United Kingdom), still playing
  107: geranick (Greece), still playing
  108: giubi47 (Romania), still playing
  109: gtrevisc (Brazil), still playing
  110: guiasato (Brazil), still playing
  111: hajni1977 (Germany), still playing
  112: hat3myself (Belarus), still playing
  113: henriqueschi (Brazil), still playing
  114: hewer.roger [2] (Brazil), still playing
  115: hommurat99 (Belarus), still playing
  116: joerlison (Brazil), still playing
  117: jum_gui (Brazil), still playing
  118: juniorbr25 (Brazil), still playing
  119: jvribero (Brazil), still playing
  120: keffdragonXX (Brazil), still playing
  121: kijuu9 (Mexico), still playing
  122: kiuporto (Brazil), still playing
  123: korreboet [2] (Belgium), still playing
  124: kostya759 (Ukraine), still playing
  125: l_Sm0oTh_l (Germany), still playing
  126: laulauderue (Canada), still playing
  127: lengush (Finland), still playing
  128: liomaceisa [2] (Brazil), still playing
  129: lordanell (Thailand), still playing
  130: mambo52 (United Kingdom), still playing
  131: manulanzelotto (Argentina), still playing
  132: marqueserick (Brazil), still playing
  133: mcnugget1234 [2] (United Kingdom), still playing
  134: meinapoker (Argentina), still playing
  135: mosmaysa11 (Bermuda), still playing
  136: noboru83 (Japan), still playing
  137: pe519dro (Brazil), still playing
  138: petrosant (Brazil), still playing
  139: philiiiiiiii [2] (Germany), still playing
  140: pieroborges (Brazil), still playing
  141: praskachev (Bulgaria), still playing
  142: rageni (Estonia), still playing
  143: renkee27 (Germany), still playing
  144: robsonabdala (Brazil), still playing
  145: rodrygo1213 (Brazil), still playing
  146: samuelgoes (Brazil), still playing
  147: stephan1805 (Germany), still playing
  148: tim0402 (Germany), still playing
  149: touristgambler (Austria), still playing
  150: turkeys neck (United Kingdom), still playing
  151: vandeco_dias (Brazil), still playing
  152: victorreghin (Brazil), still playing
  153: vpisjak (Latvia), still playing
  154: x fullmagai (Brazil), still playing
  155: yasnaka (Japan), still playing
  156: zocro [2] (Brazil), still playing
  157: Gabrielfs13 (Brazil), 
  158: RenanLUFFY (Brazil), 
  159: Salomandar (United Kingdom), 
  160: cebolinha_rs (Brazil), 
  161: oku87 (Estonia), 
  162: Juvituu (Brazil), 
  163: Beto Macedo CCH (Brazil), 
  164: AlexandreAnd (Brazil), 
  165: AntanasV2 [3] (Lithuania), 
  166: fr4wtz (Brazil), 
  167: jontenlol (Denmark), 
  168: _Miazakii_ (Brazil), 
  169: Suezawa (Brazil), 
  170: Jokomaster (Hungary), 
  171: PAMPAGR [3] (Argentina), 
  172: te pupa tata (Romania), 
  173: JumalSander (Estonia), 
  174: Vinivs09 (Brazil), 
  175: JohnnyHaber (Finland), 
  176: operatorul08 (Romania), 
  177: Tasty8carey (Ireland), 
  178: PW2907 (Romania), 
  179: offdrop (Brazil), 
  180: lExample (Belarus), 
  181: 2cbxtc (United Kingdom), 
  182: Lucky4Phil (Germany), 
  183: Capitao1987 (Brazil), 
  184: headsuptom (Belgium), 
  185: Drawmind (Brazil), 
  186: Ryan_Peste (Brazil), 
  187: Timbirim (Brazil), 
  188: fvallerio (Brazil), 
  189: christos249 [2] (Greece), 
  190: fabincastro1 (Brazil), 
  191: runtoeatmore (United Kingdom), 
  192: Ameliorator (United Kingdom), 
  193: dubbele boer (Belgium), 
  194: DIR02 (Romania), 
  195: PIPOQUEER (Brazil), 
  196: johnnyubá (Brazil), 
  197: alex52059487 (United Kingdom), 
  198: ludaslol [2] (Sweden), 
  199: yasz69! (Nicaragua), 
  200: pokerhero3838 (Austria), 
  201: PHSCardoso (Brazil), 
  202: kygodeep (Ukraine), 
  203: wadeymeeksy (United Kingdom), 
  204: The Yasuo [2] (Brazil), 
  205: 69_sinwithme (Ukraine), 
  206: maiealex (Romania), 
  207: nostrak1ng (Argentina), 
  208: macauley1210 (United Kingdom), 
  209: fernandotkd (Brazil), 
  210: Because FKU (Brazil), 
  211: MatheusBT1992 (Brazil), 
  212: sKAro1201 (Switzerland), 
