PokerStars Tournament #3918666107, No Limit Hold'em
Buy-In: $2.94/$0.36 USD
144 players
Total Prize Pool: $423.36 USD 
Tournament started 2025/08/20 15:10:00 BRT [2025/08/20 14:10:00 ET]

  1: BrnTyr (Brazil), still playing
  2: Erendil9999 (Greece), still playing
  3: Fil64 (Belgium), still playing
  4: GKAVS (Ireland), still playing
  5: GrovuRadu (Romania), still playing
  6: Gunterclem (United Kingdom), still playing
  7: JBJ2020 (United Kingdom), still playing
  8: Matheus29122 (Brazil), still playing
  9: N3GODR4M4 (Brazil), still playing
  10: Nosferatu411 (Canada), still playing
  11: PrettyThug88 (Bulgaria), still playing
  12: RHAWWWW (Brazil), still playing
  13: RamiRami1990 (Brazil), still playing
  14: SECA_KING (United Kingdom), still playing
  15: SGHurtadoL (Brazil), still playing
  16: Second sheet (Japan), still playing
  17: V-Delaney (New Zealand), still playing
  18: Werbach77 [2] (Argentina), still playing
  19: Zuriktan (Mexico), still playing
  20: alclacerda (Brazil), still playing
  21: alde229 (Mexico), still playing
  22: gustonunes (Brazil), still playing
  23: hasekiki [2] (Germany), still playing
  24: iguim_br (Brazil), still playing
  25: jonathanbas (Brazil), still playing
  26: kaiaco01 (Brazil), still playing
  27: kirusha07xa (Ukraine), still playing
  28: leolelego (Belgium), still playing
  29: manolis9363 [2] (Germany), still playing
  30: menba47 (Panama), still playing
  31: musa0859 [2] (South Korea), still playing
  32: mwdd28 (United Kingdom), still playing
  33: temurg78 (Ireland), still playing
  34: vargacarlos [2] (Brazil), still playing
  35: Gabrielfs13 (Brazil), 
  36: MIMEME111 (Belgium), 
  37: Daniel121195 (United Kingdom), 
  38: RodrigoC1914 (Brazil), 
  39: *S*SEVA*S* (Belarus), 
  40: kanabal18 (United Kingdom), 
  41: cesarmayo1809 (Chile), 
  42: michaelmorri88 (United Kingdom), 
  43: PredaStef99 (Romania), 
  44: BayrischerKing (Germany), 
  45: VH_Gekko (Brazil), 
  46: sam3450 (United Kingdom), 
  47: szilike66 (Hungary), 
  48: S4rd4uk4r (Germany), 
  49: jayjones93 (Brazil), 
  50: MyHorseRoxes (Canada), 
  51: evanb1988 [2] (United Kingdom), 
  52: zulujimmo [2] (United Kingdom), 
  53: Nahue50 (Argentina), 
  54: Minxy1954 (United Kingdom), 
  55: ciumpilicaaa (United Kingdom), 
  56: maxmels [2] (Belarus), 
  57: badderz101 (United Kingdom), 
  58: Chad618 (Canada), 
  59: losscreeners [2] (Argentina), 
  60: akwebber (Brazil), 
  61: ArgKatt (Sweden), 
  62: bluechees367 (Belgium), 
  63: BRNSoloMid (Brazil), 
  64: robsonabdala (Brazil), 
  65: Klopfer5 [2] (Germany), 
  66: teteuc2 (Brazil), 
  67: APL 03 [2] (Brazil), 
  68: luluteube (Canada), 
  69: zulujimmo (United Kingdom), 
  70: evanb1988 (United Kingdom), 
  71: Jhoow-fitnes (Brazil), 
  72: manolis9363 (Germany), 
  73: gugalrao7 (Brazil), 
  74: mvfranca (Brazil), 
  75: Al_Capote91 (Belgium), 
  76: losscreeners (Argentina), 
  77: Klopfer5 (Germany), 
  78: k33G3ls (Canada), 
  79: maxmels (Belarus), 
  80: grostony13 [2] (Belgium), 
  81: Nikk@638 (Ukraine), 
  82: musa0859 (South Korea), 
  83: marcelinh2906 [2] (Brazil), 
  84: naiarabf (Brazil), 
  85: hasekiki (Germany), 
  86: MADREFF (Germany), 
  87: frozen557 [2] (Canada), 
  88: Tintos134 [2] (Brazil), 
  89: fabinhofbo (Brazil), 
  90: LyrikalD (United Kingdom), 
  91: oelbrich (Brazil), 
  92: Péterson8 [2] (Brazil), 
  93: Element50000 (Greece), 
  94: papai sinop (Brazil), 
  95: Werbach77 (Argentina), 
  96: th_fernandes12 (Brazil), 
  97: tecovalentao (Brazil), 
  98: marky9619 [2] (United Kingdom), 
  99: bola25748 (Brazil), 
  100: sinto92 (Germany), 
  101: JuniorNds (Brazil), 
  102: Flummiiii (Germany), 
  103: lgrigotti (Brazil), 
  104: frozen557 (Canada), 
  105: APL 03 (Brazil), 
  106: obayr6i (Denmark), 
  107: matejvslo (Slovenia), 
  108: Enzets [2] (Brazil), 
  109: Guii-FPOLIS [2] (Brazil), 
  110: PuttePaniik (Sweden), 
  111: Tintos134 (Brazil), 
  112: Paulo Romas (Brazil), 
  113: grostony13 (Belgium), 
  114: nkay28 (Germany), 
  115: marky9619 (United Kingdom), 
  116: Sn0wba11 (Kazakhstan), 
  117: kakaruga (Brazil), 
  118: Rabbitsz (Brazil), 
  119: 13fritz12 [2] (Germany), 
  120: andreas8866 (Brazil), 
  121: Sipim F. (Brazil), 
  122: BudSpencer7777 [2] (Austria), 
  123: KArro:(doido (Brazil), 
  124: Loicdelph (Belgium), 
  125: Enzets (Brazil), 
  126: carmim65 (Brazil), 
  127: roby_19741 [2] (Romania), 
  128: Seeds of love (Brazil), 
  129: marcelinh2906 (Brazil), 
  130: Péterson8 (Brazil), 
  131: 13fritz12 (Germany), 
  132: Quickfinger1 (Germany), 
  133: RBombinho [2] (Brazil), 
  134: dayglocrazy (United Kingdom), 
  135: Sobral82 (Brazil), 
  136: BudSpencer7777 (Austria), 
  137: mrenann10 [2] (Brazil), 
  138: daktaras83 (Lithuania), 
  139: vargacarlos (Brazil), 
  140: bonzerando (Brazil), 
  141: roby_19741 (Romania), 
  142: Guii-FPOLIS (Brazil), 
  143: RBombinho (Brazil), 
  144: mrenann10 (Brazil), 

You finished in 35th place (eliminated at hand #257420215997).


