PokerStars Tournament #3910306031, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
1106 players
Total Prize Pool: $16451.50 USD 
Tournament started 2025/07/24 11:30:00 BRT [2025/07/24 10:30:00 ET]

  1: "diamondave7 (Ireland), still playing
  2: #27JETS (Canada), still playing
  3: $$$CAMEL.T86 (Ukraine), still playing
  4: $iTaLiA_69$j [2] (Belgium), still playing
  5: $partan4ik (Belarus), still playing
  6: *LegolÁssz* (Hungary), still playing
  7: -gmt-Sky (Ukraine), still playing
  8: -t,tq-,zft@z [2] (Austria), still playing
  9: 00gap00 (Brazil), still playing
  10: 0liveiraJ (Brazil), still playing
  11: 10lionel95 (Germany), still playing
  12: 14kafu14 (Hungary), still playing
  13: 1985Acura (South Korea), still playing
  14: 235795r (Brazil), still playing
  15: 2smuckit (Canada), still playing
  16: 3376788 (United Kingdom), still playing
  17: 4akuFT (Ukraine), still playing
  18: 4pokan (Belarus), still playing
  19: 76198 (Slovakia), still playing
  20: 91kari (Canada), still playing
  21: 92Maniac (Germany), still playing
  22: 99dm84 [2] (Bosnia and Herzegovina), still playing
  23: 9m41k (Belarus), still playing
  24: A. Lechebrin (Latvia), still playing
  25: A1waysW1n (Ukraine), still playing
  26: A777BX [2] (Kazakhstan), still playing
  27: AALAVANDOSKI (Brazil), still playing
  28: AArKKas13 (Brazil), still playing
  29: AJIeKc19 (Uzbekistan), still playing
  30: ASautin123 [2] (Belarus), still playing
  31: AamiUa (Ukraine), still playing
  32: Accio Aces1 [2] (Brazil), still playing
  33: Addixy [2] (Germany), still playing
  34: Adrian879423 (Romania), still playing
  35: Agarraesta [2] (Argentina), still playing
  36: Akhtabut [2] (Malta), still playing
  37: AlexClaude (Canada), still playing
  38: AlmightyA (Ukraine), still playing
  39: AnnaConda88 (United Kingdom), still playing
  40: AquiNãoNeném (Brazil), still playing
  41: Arcanjo9917 (Brazil), still playing
  42: Arnisss [2] (United Kingdom), still playing
  43: Ashcur4747 (Armenia), still playing
  44: Astrochino (Brazil), still playing
  45: Atajan7388 (Turkmenistan), still playing
  46: B58F32 (United Kingdom), still playing
  47: BahijFC (Sweden), still playing
  48: Beach2201 (Ireland), still playing
  49: Bech02 (Denmark), still playing
  50: Benfica10 (Canada), still playing
  51: Benitoj19 (Argentina), still playing
  52: Biguethi339 (Brazil), still playing
  53: Bitencourth00 [2] (Brazil), still playing
  54: BlindDog777 (United Kingdom), still playing
  55: BobJow93 (Brazil), still playing
  56: Borgesxx (Brazil), still playing
  57: Bozo Bozal (Brazil), still playing
  58: Br@mmer (Denmark), still playing
  59: Brat_Tremzina (Belarus), still playing
  60: Brenowwm. (Brazil), still playing
  61: Bruno "FrZy" (Brazil), still playing
  62: BrunoStrek (Brazil), still playing
  63: Brunodellas (Brazil), still playing
  64: Buco86 (Slovenia), still playing
  65: Burlaka780 (Canada), still playing
  66: C05MIN2 (United Kingdom), still playing
  67: Cashine94 (Germany), still playing
  68: Cebola948 (Brazil), still playing
  69: Cherikk504 (Ukraine), still playing
  70: Chicou69 (Canada), still playing
  71: Chillington (Finland), still playing
  72: Chirola7777 [3] (Uruguay), still playing
  73: ChiterMX [2] (Belarus), still playing
  74: Chrusto (Slovakia), still playing
  75: Cigana#13 (Brazil), still playing
  76: CordeiroJL (Brazil), still playing
  77: Corruptable1 (United Kingdom), still playing
  78: Crashtiltt (Switzerland), still playing
  79: Curioso24 (Brazil), still playing
  80: DDEXXMT (Malta), still playing
  81: DEAD LOCK 69 (United Kingdom), still playing
  82: DEERV (Brazil), still playing
  83: DSNeher [2] (Brazil), still playing
  84: Da5ch [3] (Canada), still playing
  85: DanLangUK (United Kingdom), still playing
  86: DarkSkies21 (Brazil), still playing
  87: Darn L (United Kingdom), still playing
  88: Davidedê (Brazil), still playing
  89: Dekinhu (Brazil), still playing
  90: Dekor12 [2] (Germany), still playing
  91: DelijaVL (Slovenia), still playing
  92: Dieferson09 (Brazil), still playing
  93: Diego-hi (Brazil), still playing
  94: DionataPZZ (Brazil), still playing
  95: DomDess101 (Slovakia), still playing
  96: DouglasNicol (Brazil), still playing
  97: DuckJuice778 (Kazakhstan), still playing
  98: DuxxBalboa89 (Sweden), still playing
  99: EV0ll0VE (Argentina), still playing
  100: EduardoLTZ (Brazil), still playing
  101: Egroe (Romania), still playing
  102: Eiji88 (Brazil), still playing
  103: Elisey87 (Belarus), still playing
  104: Elrenato98 (Ecuador), still playing
  105: Enex96 (Germany), still playing
  106: Engastamento (Brazil), still playing
  107: Erou (Finland), still playing
  108: EvilChris321 (United Kingdom), still playing
  109: Excluziv_ee [2] (Belarus), still playing
  110: EzBirdie [2] (Denmark), still playing
  111: F Moraes 7 (Brazil), still playing
  112: FISHCAKECITY (United Kingdom), still playing
  113: FLON_TBF (Canada), still playing
  114: Faaaarst (Malta), still playing
  115: Felipe688 (Brazil), still playing
  116: FellipeD (Brazil), still playing
  117: Fen11x (Ukraine), still playing
  118: FernandesDiz (Brazil), still playing
  119: First-t1me (Greece), still playing
  120: Flavio32125 (Brazil), still playing
  121: Flyawayfraca (Uruguay), still playing
  122: Focuswow777 (Ukraine), still playing
  123: FollowTheBreath (Costa Rica), still playing
  124: Fowlesy118 [3] (United Kingdom), still playing
  125: Fuuuuuuull (Brazil), still playing
  126: G.Prestess (Brazil), still playing
  127: G.R.R.127 (Ukraine), still playing
  128: GATIMA67 (Morocco), still playing
  129: GOT3As [2] (Honduras), still playing
  130: GSPoker90 [2] (Brazil), still playing
  131: GTavares013 (Brazil), still playing
  132: GZingano (Brazil), still playing
  133: GaNDalF-2509 (Brazil), still playing
  134: Gambler4444 (Austria), still playing
  135: Gamotongayro [2] (Greece), still playing
  136: Garena188 [2] (Ukraine), still playing
  137: GastoNNatural (Argentina), still playing
  138: GeorgyV32 (Romania), still playing
  139: Giant Dregg (Brazil), still playing
  140: GiovaniMB (Brazil), still playing
  141: Godzilla06 (Germany), still playing
  142: Gomaflush (Brazil), still playing
  143: Gomide30 (Brazil), still playing
  144: Gougagagagil (Canada), still playing
  145: GreatMann (Ukraine), still playing
  146: Gremista1981 (Brazil), still playing
  147: Guga970001 [2] (Luxembourg), still playing
  148: Guiga_Eller (Brazil), still playing
  149: Guizãoo_ (Brazil), still playing
  150: GustavoWSOP (Brazil), still playing
  151: Gustavousbra1 (Brazil), still playing
  152: H!Haapala (Finland), still playing
  153: HFLHFL95 (Brazil), still playing
  154: HU4FU (Sweden), still playing
  155: Ha$hsta (Brazil), still playing
  156: HansDenSvans (Denmark), still playing
  157: HelloMan96 (Switzerland), still playing
  158: Henrytoni (Germany), still playing
  159: Hihgwayman (Germany), still playing
  160: Honey Dick (Brazil), still playing
  161: Horizontdto (Switzerland), still playing
  162: HvidbergSenior (Denmark), still playing
  163: I am 8 (United Kingdom), still playing
  164: I am MoonPie (Canada), still playing
  165: I'llTheBest (Brazil), still playing
  166: IMPERA 10 (Brazil), still playing
  167: InLoving (Ukraine), still playing
  168: Ip3roI [2] (Ukraine), still playing
  169: IsItRoss? (Ukraine), still playing
  170: Iustinul (Romania), still playing
  171: Izinmsr [2] (Brazil), still playing
  172: JOshuaBings (Austria), still playing
  173: JRuiJr (Brazil), still playing
  174: JUKAshw (Brazil), still playing
  175: JaSaToCo (United Kingdom), still playing
  176: Jacqo420 (Denmark), still playing
  177: Jamo855 (United Kingdom), still playing
  178: Jana2136534 (United Kingdom), still playing
  179: Janis290482 (Ireland), still playing
  180: JayDKNorth (Denmark), still playing
  181: Jigsz19 (Switzerland), still playing
  182: Jindujiun (Switzerland), still playing
  183: Joe Santana (Brazil), still playing
  184: JoeygattAA (Malta), still playing
  185: JonasBelon (Brazil), still playing
  186: Jorma8555 (Finland), still playing
  187: Jota817 (Brazil), still playing
  188: JudasGuide (Lithuania), still playing
  189: Kaia JAH (Brazil), still playing
  190: Karskihai (Finland), still playing
  191: Kaska*Ace (Canada), still playing
  192: Kawha7lib [2] (Canada), still playing
  193: Killinfields (Romania), still playing
  194: Kim Ditlev [3] (Denmark), still playing
  195: KingBrun0 [2] (Brazil), still playing
  196: KingDugdale (United Kingdom), still playing
  197: KingSouto (Brazil), still playing
  198: Kleber Thau (Brazil), still playing
  199: KonkeyDong13 (Germany), still playing
  200: KorteX.ma (Morocco), still playing
