PokerStars Tournament #3911960035, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
662 players
Total Prize Pool: $6620.00 USD 
Tournament started 2025/07/24 10:30:00 BRT [2025/07/24 9:30:00 ET]

  1: #c_jr15 (Brazil), still playing
  2: $iTaLiA_69$j (Belgium), still playing
  3: -gmt-Sky (Ukraine), still playing
  4: -t,tq-,zft@z (Austria), still playing
  5: 101funt186 [2] (Ukraine), still playing
  6: 10lionel95 (Germany), still playing
  7: 21bex21 (Greece), still playing
  8: 235795r (Brazil), still playing
  9: 6363N6977 (Germany), still playing
  10: 69AllenPRO69 (Brazil), still playing
  11: 76198 (Slovakia), still playing
  12: 7bood7 (Canada), still playing
  13: 8484R (Belgium), still playing
  14: 99_shark_94 (Slovakia), still playing
  15: 99dm84 (Bosnia and Herzegovina), still playing
  16: AArapiraca (Brazil), still playing
  17: ARICCI.BOSSO (Greece), still playing
  18: Absurdus212 (Azerbaijan), still playing
  19: Adelinjok602 (United Kingdom), still playing
  20: AiasTheGreat (United Kingdom), still playing
  21: Alada222 (Brazil), still playing
  22: AlexClaude (Canada), still playing
  23: AndnetoPoker (Brazil), still playing
  24: Ant.Ian.14 (Mexico), still playing
  25: Arnisss (United Kingdom), still playing
  26: Benfica10 (Canada), still playing
  27: Bloody2202 (Germany), still playing
  28: Blufflillo [2] (Chile), still playing
  29: Brat_Tremzina (Belarus), still playing
  30: BuderusBrutus (Switzerland), still playing
  31: Caiodrogba11 (Brazil), still playing
  32: Chillington (Finland), still playing
  33: Chirola7777 (Uruguay), still playing
  34: Chizhik-d (Kazakhstan), still playing
  35: Choch87 (Kazakhstan), still playing
  36: DEAD LOCK 69 [2] (United Kingdom), still playing
  37: DZlamidunami (Belgium), still playing
  38: Da5ch (Canada), still playing
  39: Daresnyack5 [3] (Slovakia), still playing
  40: DarkSkies21 (Brazil), still playing
  41: Davieooo (United Kingdom), still playing
  42: Dekor12 (Germany), still playing
  43: Del_rr (Greece), still playing
  44: DelijaVL [2] (Slovenia), still playing
  45: DeyvissonVS (Brazil), still playing
  46: Diego-hi (Brazil), still playing
  47: DiegoMartins4 (Brazil), still playing
  48: EICameIeonFR (Hungary), still playing
  49: Egroe (Romania), still playing
  50: El_fuego_177 (Kazakhstan), still playing
  51: ElconeJQ (New Zealand), still playing
  52: Engastamento [2] (Brazil), still playing
  53: EricBolis (Brazil), still playing
  54: Erpinator007 (Germany), still playing
  55: F Moraes 7 (Brazil), still playing
  56: FANCYCELERiO [2] (United Kingdom), still playing
  57: FStoerBitt (Brazil), still playing
  58: FernandesDiz (Brazil), still playing
  59: FlavioDuraes (Brazil), still playing
  60: Focuswow777 (Ukraine), still playing
  61: Fowlesy118 (United Kingdom), still playing
  62: Franklinfb (Brazil), still playing
  63: Fuuuuuuull (Brazil), still playing
  64: G.R.R.127 (Ukraine), still playing
  65: GREMIO*FrG (Brazil), still playing
  66: Gaelito23 (Brazil), still playing
  67: Gamotongayro (Greece), still playing
  68: Ghenghar (Romania), still playing
  69: Giulianno Ma (Brazil), still playing
  70: Good Hyena (Ukraine), still playing
  71: Gremista1981 (Brazil), still playing
  72: Grimoire80 (Denmark), still playing
  73: Guga970001 [2] (Luxembourg), still playing
  74: Guiga_Eller (Brazil), still playing
  75: Guspichkata [2] (Bulgaria), still playing
  76: HU4FU (Sweden), still playing
  77: Ha$hsta (Brazil), still playing
  78: HighRsk [2] (Brazil), still playing
  79: Honey Dick (Brazil), still playing
  80: I'llTheBest (Brazil), still playing
  81: IsItRoss? (Ukraine), still playing
  82: Iveymaker (Latvia), still playing
  83: J. Pinkman (Finland), still playing
  84: JGLEDESMA (Brazil), still playing
  85: JaSaToCo (United Kingdom), still playing
  86: Jacqo420 (Denmark), still playing
  87: JakeF2001 (United Kingdom), still playing
  88: JamJars123 [2] (United Kingdom), still playing
  89: Jay129869 (United Kingdom), still playing
  90: JeanAARemo (Switzerland), still playing
  91: JudasGuide (Lithuania), still playing
  92: KESHISHO (Armenia), still playing
  93: KKIlanSiaKK (Switzerland), still playing
  94: Kaltzem (Brazil), still playing
  95: KiZaru800 [2] (Germany), still playing
  96: KingBrun0 (Brazil), still playing
  97: Kleber Thau (Brazil), still playing
  98: KorneyD (Thailand), still playing
  99: LCB54 (Brazil), still playing
  100: LEO088 (Argentina), still playing
  101: LehaHannibal [2] (Belarus), still playing
  102: LeptonDOCORT (Brazil), still playing
  103: LikR-EZ [3] (Finland), still playing
  104: Limpfer (Lithuania), still playing
  105: Lion19970502 (Belarus), still playing
  106: LuanCaruso (Brazil), still playing
  107: LuckyFishman (Ukraine), still playing
  108: LuckyJyst [2] (Ukraine), still playing
  109: LuckyLee89 (Brazil), still playing
  110: M Vannucchi (Brazil), still playing
  111: MBen10 [3] (United Kingdom), still playing
  112: M_Semensky (Bulgaria), still playing
  113: Machidon7 (Romania), still playing
  114: Makks42 [2] (Germany), still playing
  115: Malandron_22 [2] (Brazil), still playing
  116: MarcosTroty (Brazil), still playing
  117: MattzoP (United Kingdom), still playing
  118: Maximulle (Sweden), still playing
  119: McLovout (Austria), still playing
  120: McRAAK (Ukraine), still playing
  121: Messina242 (Germany), still playing
  122: MestreKÓ (Brazil), still playing
  123: MrJovelli (Latvia), still playing
  124: MustyL9 (Romania), still playing
  125: Nami0708 (Sweden), still playing
  126: NesKau09 (Brazil), still playing
  127: No One There (Latvia), still playing
  128: NoxoPoker [2] (Brazil), still playing
  129: O.O.Basay (Ukraine), still playing
  130: OndeJogaste? (Brazil), still playing
  131: Pachekowski [2] (Brazil), still playing
  132: Pretorius616 (Sweden), still playing
  133: PuercoRicoo (Switzerland), still playing
  134: Quhwa (Finland), still playing
  135: Rafael-BT88 (Brazil), still playing
  136: RagVoen (Belarus), still playing
  137: RankOne_NL (Ukraine), still playing
  138: Renattoporto (Brazil), still playing
  139: Reschini08 [2] (Argentina), still playing
  140: Rodiao (Brazil), still playing
  141: Romsyhu (Hungary), still playing
  142: Rustam308 [2] (Turkmenistan), still playing
  143: Saedin1 (Argentina), still playing
  144: Santocx (Venezuela), still playing
  145: Scrooge86768 (Canada), still playing
  146: Sh00ji1 (Brazil), still playing
  147: Shipeerson (Brazil), still playing
  148: Slaskbaljan (Sweden), still playing
  149: Spraggy [2] (United Kingdom), still playing
  150: SuperleskVix (Brazil), still playing
  151: T0GN3T (Brazil), still playing
  152: TLNo.13 (Romania), still playing
  153: TMNicks (Belgium), still playing
  154: TavimWin (Brazil), still playing
  155: TeamNijeri (Switzerland), still playing
  156: ThalleSx (Brazil), still playing
  157: TheWhiteMark (Brazil), still playing
  158: Tiger-rudd (United Kingdom), still playing
  159: Tooniq26 (Switzerland), still playing
  160: TopTwix [2] (Belarus), still playing
  161: TottiStarK (Brazil), still playing
  162: TurnOnTuneIn (Brazil), still playing
  163: Typucm (Belarus), still playing
  164: Ulle0007 (Denmark), still playing
  165: Uwe52 (Germany), still playing
  166: Venom PL13 (Moldova), still playing
  167: Vesper22221 (Kazakhstan), still playing
  168: Vezpaz (Brazil), still playing
  169: Vidygal (Brazil), still playing
  170: ViniVera (Brazil), still playing
  171: Vlad9907 (Ukraine), still playing
  172: WINALEX39 (Lithuania), still playing
  173: WagnerSouza9 (Brazil), still playing
  174: Wainioo (Bulgaria), still playing
  175: WellBr20 (Brazil), still playing
  176: Xadios811 (Austria), still playing
  177: YourLastChoice (Brazil), still playing
  178: ZMLucker [2] (United Kingdom), still playing
  179: Znahar82 (Kazakhstan), still playing
  180: Zormegun (Bulgaria), still playing
  181: ZurichHB [2] (Switzerland), still playing
  182: akqt99 (Denmark), still playing
  183: aleexandreen (Brazil), still playing
  184: alemillo88 (Argentina), still playing
  185: aminmele (Greece), still playing
  186: artur145 (Brazil), still playing
  187: asiancutiee [3] (Thailand), still playing
  188: attitudeeeee (Hungary), still playing
  189: awfulz (Lithuania), still playing
  190: balisto225 (Belgium), still playing
  191: ballesterosigor (Brazil), still playing
  192: barrosotr (Brazil), still playing
  193: benbridge08 (Canada), still playing
  194: bertola12 (Brazil), still playing
  195: brian 27979 (United Kingdom), still playing
  196: cacopoker [2] (Brazil), still playing
  197: caiocastilho (Brazil), still playing
  198: caiosultanum (Brazil), still playing
  199: catrakAA (Brazil), still playing
  200: cnt11 (Romania), still playing
  201: cygnet100 (United Kingdom), still playing
  202: cytehep_wp (Kazakhstan), still playing
  203: damjanos (Slovenia), still playing
  204: dappio_d (Brazil), still playing
  205: dc_Dima (Moldova), still playing
  206: diegoppokerAA (Brazil), still playing
  207: dineloco22 (Brazil), still playing
  208: djdow [2] (United Kingdom), still playing
  209: dvdpk58 [2] (Brazil), still playing
  210: eaaeman (Brazil), still playing
  211: edudiaz17 (Argentina), still playing
  212: el_pak0 (Ukraine), still playing
  213: elmiau1 (Argentina), still playing
  214: flukeybob1 (Ireland), still playing
  215: flush kappa (Hungary), still playing
  216: gagauzoguz (Moldova), still playing
  217: gjimmi123 (Austria), still playing
  218: gr868 (United Kingdom), still playing
