PokerStars Tournament #3912332094, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
140 players
Total Prize Pool: $672.00 USD 
Tournament started 2025/07/24 16:09:26 BRT [2025/07/24 15:09:26 ET]

  1: Nvanexel (Malta), still playing
  2: TIGHTPRO87 (United Kingdom), still playing
  3: bertollo (Brazil), still playing
  4: bi5cuit23 (United Kingdom), still playing
  5: eaaeman (Brazil), still playing
  6: gegememe (Mexico), still playing
  7: hotshotknick (Sweden), still playing
  8: kdawson1995 (United Kingdom), still playing
  9: progzx (Denmark), still playing
  10: sharman5 [2] (United Kingdom), still playing
  11: testar40 (United Kingdom), still playing
  12: JohnD.Admirl (Malta), $13.05 (1.941%)
  13: Gabrielfs13 (Brazil), $13.05 (1.941%)
  14: SeteDuqueOff (Brazil), $11.05 (1.644%)
  15: DjangoEdu (Brazil), $11.05 (1.644%)
  16: spencercba6 (United Kingdom), $11.05 (1.644%)
  17: bigz1999 (Brazil), $11.05 (1.644%)
  18: 1Rolts1 (Estonia), $9.35 (1.391%)
  19: Audrius666999 (Lithuania), $9.35 (1.391%)
  20: BichukAnton (Ukraine), $9.35 (1.391%)
  21: kevindelucci [2] (Brazil), 
  22: molks (Austria), 
  23: noeomar (Mexico), 
  24: degue11 (Brazil), 
  25: SlowFipsAUT (Austria), 
  26: onlydrunkreg [4] (Brazil), 
  27: jotacabral [2] (Brazil), 
  28: Twilight xx6 [3] (Denmark), 
  29: mckee498 [3] (Ireland), 
  30: MaxiJay-1409 [2] (United Kingdom), 
  31: Montevini1 (Brazil), 
  32: RamiRami1990 (Brazil), 
  33: rb2527 (United Kingdom), 
  34: badknife [2] (Brazil), 
  35: Leaa2001 (Bulgaria), 
  36: madkarli (Switzerland), 
  37: petocernak1011 (Slovakia), 
  38: bacood [3] (Austria), 
  39: nachettis (Argentina), 
  40: AKQJ10-2K10 (Brazil), 
  41: Bobby1o (Austria), 
  42: mousias99 (Greece), 
  43: Bozo Bozal [2] (Brazil), 
  44: TFfunkjoker (Germany), 
  45: adawson6 [3] (United Kingdom), 
  46: blomman5 (Sweden), 
  47: 23Joy10 (Germany), 
  48: sayik66 (United Kingdom), 
  49: Kopi121212 (Germany), 
  50: Steekarn (Sweden), 
  51: SrTibu (Argentina), 
  52: greeeeeeat (Denmark), 
  53: JoGoLukSuk (Canada), 
  54: robcullen7 (United Kingdom), 
  55: kriso976 (Bulgaria), 
  56: ZMLucker [3] (United Kingdom), 
  57: Scoobidom138 (Switzerland), 
  58: 5=cinco [2] (Brazil), 
  59: ICNOACES954 [2] (United Kingdom), 
  60: rolland7 (Canada), 
  61: hulidelat [2] (Ukraine), 
  62: Sushimeal (Germany), 
  63: bradly72 (Ireland), 
  64: onlydrunkreg [3] (Brazil), 
  65: sharman5 (United Kingdom), 
  66: mckee498 [2] (Ireland), 
  67: 5=cinco (Brazil), 
  68: szabarna (Romania), 
  69: BC_Pres [2] (Canada), 
  70: ZMLucker [2] (United Kingdom), 
  71: bitautas [2] (Lithuania), 
  72: eugens218 (Germany), 
  73: moglie81 (Germany), 
  74: tobsenmoe (Germany), 
  75: KleitonSilva (Brazil), 
  76: jotacabral (Brazil), 
  77: SuedeChick (Finland), 
  78: sexynanny [4] (Canada), 
  79: adawson6 [2] (United Kingdom), 
  80: ICNOACES954 (United Kingdom), 
  81: bitautas (Lithuania), 
  82: nicoguti007 (Argentina), 
  83: cepiiitis (Latvia), 
  84: marcoharcle (Denmark), 
  85: onlydrunkreg [2] (Brazil), 
  86: GTLVR (Estonia), 
  87: hulidelat (Ukraine), 
  88: bacood [2] (Austria), 
  89: eu_ygy (Romania), 
  90: rafinhasuetomi (Brazil), 
  91: sexynanny [3] (Canada), 
  92: Fefo Ig (Argentina), 
  93: scofieldm25 (Slovenia), 
  94: evilchinrak (United Kingdom), 
  95: Núbia (Brazil), 
  96: jasonc7 (United Kingdom), 
  97: tainalima (Brazil), 
  98: angienurse71 (Sweden), 
  99: juñior75 (Mexico), 
  100: MojoJojo0511 [2] (United Kingdom), 
  101: sexynanny [2] (Canada), 
  102: Toshiro_Koga (Brazil), 
  103: SKYLOS7777 (Greece), 
  104: Bozo Bozal (Brazil), 
  105: MaxiJay-1409 (United Kingdom), 
  106: Snowsmile (Sweden), 
  107: nearlyforty (United Kingdom), 
  108: eldiablo8125 (United Kingdom), 
  109: fabiomweide [3] (Brazil), 
  110: onlydrunkreg (Brazil), 
  111: atlantaca661 (Argentina), 
  112: Fims72 [2] (Denmark), 
  113: rooney346 (United Kingdom), 
  114: ZMLucker (United Kingdom), 
  115: chokata (Bulgaria), 
  116: sexynanny (Canada), 
  117: kevindelucci (Brazil), 
  118: Niceman63 (Luxembourg), 
  119: Twilight xx6 [2] (Denmark), 
  120: adawson6 (United Kingdom), 
  121: joegrimes [2] (Ireland), 
  122: DiMastodon (Brazil), 
  123: V.Suzuki7 (Brazil), 
  124: MojoJojo0511 (United Kingdom), 
  125: Jerg94er (Germany), 
  126: Tarcisio6575 (Brazil), 
  127: Lylyzaï [2] (Switzerland), 
  128: HansWinner (Belgium), 
  129: fabiomweide [2] (Brazil), 
  130: mckee498 (Ireland), 
  131: Twilight xx6 (Denmark), 
  132: badknife (Brazil), 
  133: joegrimes (Ireland), 
  134: fabiomweide (Brazil), 
  135: bacood (Austria), 
  136: Fims72 (Denmark), 
  137: gingermuff (United Kingdom), 
  138: Afro Inn (Switzerland), 
  139: Lylyzaï (Switzerland), 
  140: BC_Pres (Canada), 

You finished in 13th place (eliminated at hand #257074943731).


