PokerStars Tournament #3913514070, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
108 players
Total Prize Pool: $518.40 USD 
Tournament started 2025/07/28 13:47:44 BRT [2025/07/28 12:47:44 ET]

  1: Gustavoxp93 (Brazil), still playing
  2: Hadajktosom (Slovakia), still playing
  3: T0bzen (Denmark), still playing
  4: northpole58 (Canada), still playing
  5: stujenkins10 (United Kingdom), still playing
  6: Gabrielfs13 (Brazil), $29.57 (5.704%)
  7: bigtriccan (Sweden), $22.40 (4.32%)
  8: juñior75 (Mexico), $16.96 (3.271%)
  9: badknife (Brazil), $14.74 (2.843%)
  10: jonara13 (Greece), $12.82 (2.472%)
  11: No One There [2] (Latvia), $12.82 (2.472%)
  12: Leonsi000 (United Kingdom), $11.15 (2.15%)
  13: bertola12 (Brazil), $11.15 (2.15%)
  14: Bozo Bozal (Brazil), $9.69 (1.869%)
  15: 2andahalfman (Germany), $9.69 (1.869%)
  16: plesnicata (Bulgaria), 
  17: gamblenine [2] (Brazil), 
  18: davo2632 (United Kingdom), 
  19: omirakos29 (Greece), 
  20: Qnev78 (Bulgaria), 
  21: mightydbs (United Kingdom), 
  22: tsemann [2] (Germany), 
  23: bennyf6256 [4] (United Kingdom), 
  24: girts962 (Latvia), 
  25: Maulwurf008 [2] (Germany), 
  26: DarLa07 (Bulgaria), 
  27: szab8mark [2] (Switzerland), 
  28: V.Suzuki7 (Brazil), 
  29: DBM9919 [4] (Thailand), 
  30: MrMortgage1 (United Kingdom), 
  31: Qac1985 (Argentina), 
  32: big$$E775 (Germany), 
  33: noslieda07 (Brazil), 
  34: RobkeWolf (Lithuania), 
  35: ugidugi87 (Bulgaria), 
  36: tainalima (Brazil), 
  37: naujas111 [2] (Lithuania), 
  38: onlydrunkreg [3] (Brazil), 
  39: Leafs4 (Canada), 
  40: ottorocket22 [2] (Brazil), 
  41: chokata (Bulgaria), 
  42: knerrad29 (United Kingdom), 
  43: zipsi99 (Finland), 
  44: Uiznlk j’y t (Switzerland), 
  45: MikeH2019 (United Kingdom), 
  46: LuanCaruso [2] (Brazil), 
  47: happyass1000 (Canada), 
  48: aw0879 (Austria), 
  49: DBM9919 [3] (Thailand), 
  50: sundsta123 (Sweden), 
  51: tsemann (Germany), 
  52: wladi1986 (Germany), 
  53: Zsipali (Hungary), 
  54: dettihboy (Estonia), 
  55: donderkat [2] (Belgium), 
  56: menel9 (Greece), 
  57: DBM9919 [2] (Thailand), 
  58: abteekkari [2] (Finland), 
  59: jotacabral (Brazil), 
  60: DBM9919 (Thailand), 
  61: JachenWe (Switzerland), 
  62: polentani (Brazil), 
  63: Louis_R1876 [3] (United Kingdom), 
  64: chaavees (Brazil), 
  65: LuanCaruso (Brazil), 
  66: DrunkenFish100 (Canada), 
  67: phatgirls (United Kingdom), 
  68: gyurj1 (Armenia), 
  69: onlydrunkreg [2] (Brazil), 
  70: Maulwurf008 (Germany), 
  71: abteekkari (Finland), 
  72: kanabal18 (United Kingdom), 
  73: BangoSmalls (Austria), 
  74: SuedeChick (Finland), 
  75: Getupski [2] (United Kingdom), 
  76: theristis88 (Greece), 
  77: losernn [2] (Sweden), 
  78: donderkat (Belgium), 
  79: gamblenine (Brazil), 
  80: Caladrii (Belgium), 
  81: bennyf6256 [3] (United Kingdom), 
  82: Owaint016 (United Kingdom), 
  83: Louis_R1876 [2] (United Kingdom), 
  84: natbagz [2] (United Kingdom), 
  85: senia138 (Slovenia), 
  86: Getupski (United Kingdom), 
  87: Louis_R1876 (United Kingdom), 
  88: Igelhoe (Sweden), 
  89: AndersonBottega (Brazil), 
  90: naujas111 (Lithuania), 
  91: strawstack (Canada), 
  92: natbagz (United Kingdom), 
  93: szab8mark (Switzerland), 
  94: IIIINGENSSSS (Canada), 
  95: hulidelat (Ukraine), 
  96: bennyf6256 [2] (United Kingdom), 
  97: onlydrunkreg (Brazil), 
  98: bennyf6256 (United Kingdom), 
  99: illliuj86 (Romania), 
  100: Fischkop993 (Germany), 
  101: TOTO_VILKS (Latvia), 
  102: No One There (Latvia), 
  103: DELC4 (Brazil), 
  104: fabiii007 (Belgium), 
  105: losernn (Sweden), 
  106: aazonker (Finland), 
  107: ottorocket22 (Brazil), 
  108: DiMastodon (Brazil), 

You finished in 6th place (eliminated at hand #257125100872).


