PokerStars Tournament #3916392644, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
76 players
Total Prize Pool: $420.00 USD 
Tournament started 2025/08/07 13:41:42 BRT [2025/08/07 12:41:42 ET]

  1: 10lionel95 (Germany), still playing
  2: BRP-37 (Belarus), still playing
  3: Bozo Bozal (Brazil), still playing
  4: Burlaka780 (Canada), still playing
  5: Canada0404 (Canada), still playing
  6: CardinalWFC (United Kingdom), still playing
  7: DiMastodon (Brazil), still playing
  8: Elhug0425 (Sweden), still playing
  9: FadeToGrey91 (United Kingdom), still playing
  10: Firefly209 (Sweden), still playing
  11: Ganjabriel (Chile), still playing
  12: GermanoPrei (Brazil), still playing
  13: Greed1994 (Sweden), still playing
  14: KingArthurmag (Brazil), still playing
  15: LucaasAK747 (Brazil), still playing
  16: M_Semensky (Bulgaria), still playing
  17: Malandron_22 (Brazil), still playing
  18: Moulagow [2] (Ireland), still playing
  19: NicoThePope (Denmark), still playing
  20: Obi0815 [2] (Germany), still playing
  21: PT118 (Denmark), still playing
  22: PlinioFerraz (Brazil), still playing
  23: RIGObert12 (Germany), still playing
  24: RamiRami1990 (Brazil), still playing
  25: SANSIBAR9209 [2] (Austria), still playing
  26: SherlockBonesAA (Germany), still playing
  27: SuedeChick (Finland), still playing
  28: TEALEAF94 (United Kingdom), still playing
  29: ValentinG19 (Bulgaria), still playing
  30: YPIRANGA (Brazil), still playing
  31: acekingshar1 (Canada), still playing
  32: bibels59 (Belgium), still playing
  33: chibata_1000 (Brazil), still playing
  34: codanit [2] (Denmark), still playing
  35: cusirc (Argentina), still playing
  36: danielril97 (United Kingdom), still playing
  37: davo2632 (United Kingdom), still playing
  38: eaaeman [2] (Brazil), still playing
  39: fehemp56 (Brazil), still playing
  40: fran1448 (Ireland), still playing
  41: illliuj86 (Romania), still playing
  42: jontenlol (Denmark), still playing
  43: juñior75 (Mexico), still playing
  44: jvdora (Brazil), still playing
  45: knerrad29 (United Kingdom), still playing
  46: kriso976 (Bulgaria), still playing
  47: lajeppe (Denmark), still playing
  48: marioD76 (Germany), still playing
  49: mezei350 (Romania), still playing
  50: molks (Austria), still playing
  51: nachi2112 (Argentina), still playing
  52: namrepo (Germany), still playing
  53: neiltayls (United Kingdom), still playing
  54: paddy253 (United Kingdom), still playing
  55: rafinhasuetomi (Brazil), still playing
  56: schneckerl92 (Austria), still playing
  57: sexynanny (Canada), still playing
  58: tainalima (Brazil), still playing
  59: tiodompoker (Sweden), still playing
  60: ubbax (Germany), still playing
  61: wladi1986 (Germany), still playing
  62: Gabrielfs13 (Brazil), 
  63: fecorbacho (Brazil), 
  64: louisbinns (United Kingdom), 
  65: Obi0815 (Germany), 
  66: Moulagow (Ireland), 
  67: STsier [2] (Latvia), 
  68: SANSIBAR9209 (Austria), 
  69: bbbabbbu (Romania), 
  70: Alfonzo299 (United Kingdom), 
  71: re_star_pkr (Brazil), 
  72: STsier (Latvia), 
  73: Helmutallin (Austria), 
  74: cucabeludinhooo (Brazil), 
  75: codanit (Denmark), 
  76: eaaeman (Brazil), 
You finished the tournament (eliminated at hand #257250721335).


