PokerStars Tournament #3916850530, No Limit Hold'em
Buy-In: $5.05/$0.45 USD
304 players
Total Prize Pool: $1535.20 USD 
Tournament started 2025/08/11 14:35:00 BRT [2025/08/11 13:35:00 ET]

  1: AAxxeell16 (Belgium), still playing
  2: APaviani [2] (Brazil), still playing
  3: Aragornn25 (United Kingdom), still playing
  4: BOBYRRN10 (Brazil), still playing
  5: BaNaN4oo (Bulgaria), still playing
  6: BarryMillion [2] (Germany), still playing
  7: BastianBS17 (Denmark), still playing
  8: BjarturD (Iceland), still playing
  9: Bozo Bozal (Brazil), still playing
  10: Burlaka780 (Canada), still playing
  11: Captainmb87 (Germany), still playing
  12: D. Achilles (Brazil), still playing
  13: Daragh999 (Sweden), still playing
  14: Dixxinger95 (Austria), still playing
  15: Dja_JJ (Brazil), still playing
  16: Donace73 (Denmark), still playing
  17: Döfegröwener (Germany), still playing
  18: FRAPES1983 (Greece), still playing
  19: FecouFredes [2] (Chile), still playing
  20: FelipePradoLima (Brazil), still playing
  21: Fiskrens13 (Sweden), still playing
  22: Francizco79 [2] (Argentina), still playing
  23: Gademis4ever (Greece), still playing
  24: Gianiaki (Brazil), still playing
  25: Grimoire80 (Denmark), still playing
  26: GustavoWSOP (Brazil), still playing
  27: J.MossJonDon (United Kingdom), still playing
  28: JSDTRP-03 (Switzerland), still playing
  29: JanQQ (Finland), still playing
  30: Jansuel (Luxembourg), still playing
  31: Jennifer1245 (Germany), still playing
  32: JohnnyLpn (Mexico), still playing
  33: Jokomaster [2] (Hungary), still playing
  34: JonathanSa12 (Brazil), still playing
  35: Joris2210 (Belgium), still playing
  36: JucaItajai (Brazil), still playing
  37: July Van7 (Ukraine), still playing
  38: Just rag it (Ireland), still playing
  39: Koki4a9410 (Bulgaria), still playing
  40: Lavgesen (Denmark), still playing
  41: Livino Showtime (Brazil), still playing
  42: MKalms (Germany), still playing
  43: Machidon7 (Romania), still playing
  44: MalteSvK1 (Germany), still playing
  45: MichalK123 (Slovakia), still playing
  46: MonoC22 (Argentina), still playing
  47: Mozasela (Sweden), still playing
  48: NamLee10 (Romania), still playing
  49: Nibo53 (Germany), still playing
  50: NiclasWagner [2] (Denmark), still playing
  51: No One There (Latvia), still playing
  52: Nox226 (Belgium), still playing
  53: OutsideHuman (Estonia), still playing
  54: Paje1803 (Brazil), still playing
  55: Petit Trot9 (Canada), still playing
  56: PumpernickleXk (United Kingdom), still playing
  57: RAVBAKOMORAT (Sweden), still playing
  58: RHAWWWW (Brazil), still playing
  59: RenoRosco (Germany), still playing
  60: RobinHood1323 (Brazil), still playing
  61: Sammylong10 (United Kingdom), still playing
  62: SantanaEvandro (Brazil), still playing
  63: SirPauli555 (Switzerland), still playing
  64: Stoffels212 (Brazil), still playing
  65: T1mpaG (Sweden), still playing
  66: Tetsuno3 (United Kingdom), still playing
  67: VIRespectIV [2] (Thailand), still playing
  68: Victor Madal (Brazil), still playing
  69: VictorJA020 [2] (Denmark), still playing
  70: Vlad_mech (Brazil), still playing
  71: Zsipali (Hungary), still playing
  72: academicw917 (Canada), still playing
  73: aergaerhf (Bulgaria), still playing
  74: bashfoc2 (Ireland), still playing
  75: benor23 (Germany), still playing
  76: bonaparteyy (Germany), still playing
  77: bruno0612 (Brazil), still playing
  78: caiosultanum (Brazil), still playing
  79: chiphunter38 (Germany), still playing
  80: dettihboy (Estonia), still playing
  81: ellewerd (Canada), still playing
  82: gordeeva1717 (Estonia), still playing
  83: greecool (Germany), still playing
  84: heiwey (Germany), still playing
  85: henriqueschi (Brazil), still playing
  86: jakehazard (United Kingdom), still playing
  87: johanrasser123 (Denmark), still playing
  88: kavalaris1 (Greece), still playing
  89: kingraz24 (Belgium), still playing
  90: knerrad29 (United Kingdom), still playing
  91: lsp pest (Brazil), still playing
  92: luchinga1495 (Argentina), still playing
  93: luxplayer5 [2] (Luxembourg), still playing
  94: manoel2007 (Brazil), still playing
  95: mateinthree (Brazil), still playing
  96: mathestarzco (Malta), still playing
  97: mesrem (Belgium), still playing
  98: mindkiller6 (Austria), still playing
  99: nicodeco84 (Denmark), still playing
  100: nikoss11 (Greece), still playing
  101: onlydrunkreg (Brazil), still playing
  102: pavelinka (Belarus), still playing
  103: peachsquash (United Kingdom), still playing
  104: quirin2 (Austria), still playing
  105: rbomtempo (Brazil), still playing
  106: sKAro1201 [2] (Switzerland), still playing
  107: samuelgoes (Brazil), still playing
  108: scarfacemind (Honduras), still playing
  109: seachorus (United Kingdom), still playing
  110: sergiinhome (Brazil), still playing
  111: slabissimo (Bulgaria), still playing
  112: slippery2 [2] (United Kingdom), still playing
  113: smithzao (Brazil), still playing
  114: sqmpork (Sweden), still playing
  115: teteu_games (Brazil), still playing
