PokerStars Tournament #3916851096, No Limit Hold'em
Buy-In: $4.90/$0.60 USD
151 players
Total Prize Pool: $739.90 USD 
Tournament started 2025/08/11 13:05:00 BRT [2025/08/11 12:05:00 ET]

  1: 1sT.NexTee (Belarus), still playing
  2: ALLinho1010 (Brazil), still playing
  3: BR Slimshady (Brazil), still playing
  4: Bozo Bozal (Brazil), still playing
  5: CRFelipe81 (Brazil), still playing
  6: D. Achilles (Brazil), still playing
  7: Dentada_23 (Argentina), still playing
  8: Dr Rick94 (Brazil), still playing
  9: EmptyHouse82 (Brazil), still playing
  10: LaerteJr7 (Brazil), still playing
  11: LeonardoZT (Brazil), still playing
  12: Lucramos96 (Brazil), still playing
  13: MahSandrs (Brazil), still playing
  14: Michel Diens (Brazil), still playing
  15: Miichupa (Brazil), still playing
  16: NEADY05 [2] (United Kingdom), still playing
  17: PW2907 [2] (Romania), still playing
  18: Prudente07 (Brazil), still playing
  19: Reednalzz1222 (Brazil), still playing
  20: SeveroGoneCrazy (Brazil), still playing
  21: Vinivs09 [2] (Brazil), still playing
  22: VitorEAC (Brazil), still playing
  23: bluenose51 (United Kingdom), still playing
  24: ddmind777 (Mexico), still playing
  25: ericpoker194 (Brazil), still playing
  26: garymcdonald (Canada), still playing
  27: gigi_azenha [2] (Brazil), still playing
  28: hangerich (Brazil), still playing
  29: jjgolin (Brazil), still playing
  30: joaogz1 (Brazil), still playing
  31: johny_mac32 (Greece), still playing
  32: kechaperez (Argentina), still playing
  33: luanabvale (Brazil), still playing
  34: olivier00715 (Belgium), still playing
  35: rafinhasuetomi (Brazil), still playing
  36: rcalazans87 (Brazil), still playing
  37: touristgambler (Austria), still playing
  38: Gabrielfs13 (Brazil), 
  39: bigbadken (United Kingdom), 
  40: rickveiga94 (Brazil), 
  41: mattepatte77 (Sweden), 
  42: Hmaia788 (Brazil), 
  43: teteuc2 (Brazil), 
  44: Péterson8 [2] (Brazil), 
  45: Henk88 [2] (Germany), 
  46: Axelmillo295 (Argentina), 
  47: BernardoJF26 (Brazil), 
  48: Moergis (Germany), 
  49: budderbacca24 (Finland), 
  50: abdullahi1601 (Denmark), 
  51: Sombat69 (Germany), 
  52: nbzL (Brazil), 
  53: ValeraB96 (Belarus), 
  54: flushdrawking (United Kingdom), 
  55: huruhillli (Finland), 
  56: Troyannn788 (Bulgaria), 
  57: xerox68 [2] (Brazil), 
  58: Smurfhead (Ireland), 
  59: maynstake [2] (Canada), 
  60: billoxmx (Mexico), 
  61: VIRespectIV [2] (Thailand), 
  62: Sury8E (Mexico), 
  63: lmmaleski (Brazil), 
  64: kaltehande (Austria), 
  65: Gioiatpkmj (Brazil), 
  66: VM MORAES [2] (Brazil), 
  67: leor71325 (Argentina), 
  68: greecool (Germany), 
  69: maynstake (Canada), 
  70: VM MORAES (Brazil), 
  71: 191079kal [2] (Greece), 
  72: BlairMcKiddie [2] (United Kingdom), 
  73: wilianhs [2] (Brazil), 
  74: AntenorN (Brazil), 
  75: hitaloazine1 (Brazil), 
  76: E-KalToni (Brazil), 
  77: roby_19741 (Romania), 
  78: XxMvPokeRxX (Brazil), 
  79: BlairMcKiddie (United Kingdom), 
  80: crau29 (Brazil), 
  81: DistoKing (Brazil), 
  82: VIRespectIV (Thailand), 
  83: RamiRami1990 [2] (Brazil), 
  84: Flokkl (Brazil), 
  85: zames88 (Germany), 
  86: eaaeman (Brazil), 
  87: vulgerner401 [2] (Denmark), 
  88: daKGB (Canada), 
  89: mmsdasilva (Brazil), 
  90: UTOPIA 1717 (United Kingdom), 
  91: FecouFredes (Chile), 
  92: RamiRami1990 (Brazil), 
  93: marciogorte (Brazil), 
  94: Kaptahh [2] (Finland), 
  95: eu_loop86 [2] (Romania), 
  96: Tuberola (Brazil), 
  97: ragdoll 567 [2] (Canada), 
  98: CaioAbrahao (Brazil), 
  99: matejvslo (Slovenia), 
  100: alexsam212 (Belarus), 
  101: joaopmlobo (Switzerland), 
  102: danger0792 (Brazil), 
  103: xerox68 (Brazil), 
  104: Neil Ross (United Kingdom), 
  105: AndAleixo [2] (Brazil), 
  106: Timbirim (Brazil), 
  107: NEADY05 (United Kingdom), 
  108: sqmpork (Sweden), 
  109: vulgerner401 (Denmark), 
  110: juñior75 (Mexico), 
  111: marcelomariao (Brazil), 
  112: Vinivs09 (Brazil), 
  113: leolchaves (Brazil), 
  114: Lucky4Phil [2] (Germany), 
  115: wilianhs (Brazil), 
  116: ragdoll 567 (Canada), 
  117: Dr_RafaelMF (Brazil), 
  118: Attencion (Belarus), 
  119: Kleber Thau [2] (Brazil), 
  120: Lucky4Phil (Germany), 
  121: Kleber Thau (Brazil), 
  122: boddington82 (United Kingdom), 
  123: eu_loop86 (Romania), 
  124: mirrcha [2] (Ukraine), 
  125: nitroqqq (Greece), 
  126: guilhermerq2 (Brazil), 
  127: Pipoco9990 (Brazil), 
  128: gastonlag961 (Canada), 
  129: shutupbulio_ (Brazil), 
  130: AndAleixo (Brazil), 
  131: Mariante20 (Brazil), 
  132: 191079kal (Greece), 
