PokerStars Tournament #3916850522, No Limit Hold'em
Buy-In: $3.92/$0.48 USD
348 players
Total Prize Pool: $1364.16 USD 
Tournament started 2025/08/13 14:15:00 BRT [2025/08/13 13:15:00 ET]

  1: 98'skillzz (Argentina), still playing
  2: Andez1337 (Sweden), still playing
  3: Augustoadvcba [2] (Brazil), still playing
  4: BuBnovYVaLetAYE (Belarus), still playing
  5: DeM0N_ZT (Ukraine), still playing
  6: Dentada_23 (Argentina), still playing
  7: Gabrielfs13 (Brazil), still playing
  8: Géniedelas (Canada), still playing
  9: Joseefh (Brazil), still playing
  10: JulioMour4 (Brazil), still playing
  11: JumalSander (Estonia), still playing
  12: Jurca92 (United Kingdom), still playing
  13: K4F_Rambo_ (Brazil), still playing
  14: LIMERIK86 (Brazil), still playing
  15: LielaisPeteris (Latvia), still playing
  16: Matslav44 (Slovakia), still playing
  17: McEddy316 (United Kingdom), still playing
  18: Palman_0505 (Sweden), still playing
  19: Petron247 (Denmark), still playing
  20: Redair117 (Germany), still playing
  21: Richard Tola (United Kingdom), still playing
  22: Sipim F. (Brazil), still playing
  23: Tuberola (Brazil), still playing
  24: Witalijuz (Lithuania), still playing
  25: XGeneral69 (Canada), still playing
  26: abato1146 (Austria), still playing
  27: adorno04 (Brazil), still playing
  28: armdwithaces (United Kingdom), still playing
  29: bubbles2k17 (Ireland), still playing
  30: cannario2 [2] (Switzerland), still playing
  31: cebolinha_rs [2] (Brazil), still playing
  32: ceifadorskt (Brazil), still playing
  33: cheapplayer1 [2] (Canada), still playing
  34: fawzrich (Belgium), still playing
  35: fran1448 (Ireland), still playing
  36: giorgiolp91 (Sweden), still playing
  37: greecool [2] (Germany), still playing
  38: joh.manetta (Brazil), still playing
  39: jonao110297 (Brazil), still playing
  40: jonara13 (Greece), still playing
  41: keyhell (Brazil), still playing
  42: leah_cim83 (Germany), still playing
  43: llbllOllyll (Brazil), still playing
  44: lukebadass (Germany), still playing
  45: mKey_Qm (United Kingdom), still playing
  46: mzmaxx [2] (Brazil), still playing
  47: nejcr26 (Slovenia), still playing
  48: nicke40 (Sweden), still playing
  49: noslieda07 (Brazil), still playing
  50: robsonabdala (Brazil), still playing
  51: sir_xaiku (Switzerland), still playing
  52: touristgambler (Austria), still playing
  53: voliann (Bulgaria), still playing
  54: wincent1 (Finland), still playing
  55: zakvlassis81181 (Greece), still playing
  56: zwo36 (Brazil), still playing
  57: Narnach (Belgium), 
  58: giwrgis4 (Greece), 
  59: kukufz (Latvia), 
  60: gazlarge (United Kingdom), 
  61: SansaFran (Brazil), 
  62: janphi1 (Germany), 
  63: Bozo Bozal (Brazil), 
  64: freakyd88 [2] (Germany), 
  65: bluesdriv3r (Germany), 
  66: sonyks2007 (Ukraine), 
  67: sqmpork [2] (Sweden), 
  68: ewsha (Germany), 
  69: JapaSawada (Brazil), 
  70: wöölf [2] (Brazil), 
  71: Bluf_To_Much [2] (Moldova), 
  72: APaviani (Brazil), 
  73: bacetti_th (Brazil), 
  74: Gr3yback (Switzerland), 
  75: Leocastiga (Brazil), 
  76: OR1917mimohh (Bulgaria), 
  77: jokeerr66 (Brazil), 
  78: WillianBauru (Brazil), 
  79: bellajorge (Germany), 
  80: cana'zim (Brazil), 
  81: kesse666 (Denmark), 
  82: naiarabf (Brazil), 
  83: hesoma_89 (Brazil), 
  84: filipetrip (Brazil), 
  85: Lkizo (Brazil), 
  86: maraboti22 (Brazil), 
  87: RODRIGO_L345 (Brazil), 
  88: Augijs (Latvia), 
  89: joaopmlobo (Switzerland), 
  90: Jp_Oceano [2] (Brazil), 
  91: Bibbsson (Sweden), 
  92: collers (Slovenia), 
  93: Vini'sback [2] (Brazil), 
  94: VarokSaurfangAA (Lithuania), 
  95: Sury8E [2] (Mexico), 
  96: uhviciadinho (Brazil), 
  97: RamiRami1990 (Brazil), 
  98: pokertepec (Mexico), 
  99: menba47 (Panama), 
  100: 2cbxtc (United Kingdom), 
  101: Brosen41 (Denmark), 
  102: Messier1959 [2] (Canada), 
  103: kyivfan (Ukraine), 
  104: OutsideHuman (Estonia), 
  105: HTQN (Brazil), 
  106: henriqueschi (Brazil), 
  107: Runner195252 (Germany), 
  108: Grazza05 (United Kingdom), 
  109: VitorEAC (Brazil), 
  110: paulparadiis (Canada), 
  111: #1 Piero Conti (Chile), 
  112: frizzobruno (Brazil), 
  113: MonsieurK6nO (Belgium), 
  114: Lindeeh (Sweden), 
  115: Felipe DB (Brazil), 
  116: MURICYTRI (Brazil), 
  117: BjarturD (Iceland), 
  118: arobarob333 (Germany), 
  119: Guii-FPOLIS (Brazil), 
  120: vjoerambler (Germany), 
  121: NineBe (Brazil), 
  122: LoveyEmmanuel (Argentina), 
  123: kanabal18 (United Kingdom), 
  124: lnsasaki (Brazil), 
  125: iguim_br (Brazil), 
  126: surkerrr (Brazil), 
  127: BernardoJF26 (Brazil), 
  128: filleesveensson (Sweden), 
  129: baldiss (Brazil), 
  130: Junglist1 (Ireland), 
  131: Sänd (Switzerland), 
  132: Arun4z (Lithuania), 
  133: giannis1988 (Greece), 
  134: DiluccaNuuts (Brazil), 
  135: Irondes (Brazil), 
  136: offdrop (Brazil), 
  137: Idrojon [2] (Switzerland), 
  138: SySnakey (Romania), 
  139: XxMvPokeRxX (Brazil), 
  140: Jx1510z (Brazil), 
  141: SuedeChick [2] (Finland), 
  142: SynapseFire (Canada), 
  143: Drogan31 (Germany), 
  144: MOGABUNDY (United Kingdom), 
  145: Fiorato (Brazil), 
  146: zodiacen (Sweden), 
  147: BenBrogan12 (United Kingdom), 
  148: hellote (Sweden), 
  149: coddan (Sweden), 
  150: markan_21 (Sweden), 
  151: bigoots (Denmark), 
  152: GustavoSantomau (Brazil), 
  153: mata cobra19 (Brazil), 
  154: crka32 (Argentina), 
  155: V HC Vega (Brazil), 
  156: costinha011 (Brazil), 
  157: Prins Karris (Denmark), 
  158: Stefanmbr (Canada), 
  159: Keizii [2] (Finland), 
  160: AslanBey1980 (Sweden), 
  161: golpebaixozs (Brazil), 
  162: Dr_RafaelMF (Brazil), 
  163: pachazinho (Brazil), 
  164: NEADY05 (United Kingdom), 
  165: olemrac62 (Belgium), 
  166: el snoekie (Belgium), 
  167: marcomarco2 (Argentina), 
  168: TorukMaktuson (Brazil), 
  169: XRobstyleX (Brazil), 
  170: efbelo (Brazil), 
  171: TCC977 (Ireland), 
  172: Vludin [2] (Belarus), 
  173: PeterLuto (Germany), 
  174: verrocchio82 (Mexico), 
  175: GuiMaiscedo (Brazil), 
  176: baadau (Brazil), 
  177: kirik464646 (Germany), 
  178: tauanfaria (Brazil), 
  179: Marlb0r0 M4n (Germany), 
  180: Vinivs09 [2] (Brazil), 
  181: elviesa (Argentina), 
  182: sh0nl1ne (Switzerland), 
  183: vitinho274 (Brazil), 
  184: hit_the_sea (United Kingdom), 
  185: Lawkzin (Brazil), 
  186: joaogz1 (Brazil), 
  187: mellee1995 (Canada), 
  188: Coach198112 (Lithuania), 
  189: jonathannens (Brazil), 
  190: KeeperBrasil (Brazil), 
  191: Blacky2688 (Germany), 
  192: greg3031 (Brazil), 
  193: APL 03 (Brazil), 
  194: bompa (Sweden), 
  195: Hasarisch [2] (Germany), 
  196: Knoxie1985 (United Kingdom), 
  197: sk1bbz (United Kingdom), 
  198: alfaeomega22 (Brazil), 
  199: Dum213 (United Kingdom), 
  200: seachorus (United Kingdom), 
  201: tremb1101 (Germany), 
  202: coyote710 (Argentina), 
  203: BOCA950 [2] (Brazil), 
  204: DuardoJR (Brazil), 
  205: Livino Showtime (Brazil), 
  206: Pkpoker198594 (Thailand), 
  207: Freitas Jr92 (Brazil), 
  208: largomen1 (Argentina), 
  209: mukitoseb (Brazil), 
