PokerStars Tournament #3918386093, No Limit Hold'em
Buy-In: $6.95/$0.55 USD
157 players
Total Prize Pool: $541.65 USD 
Tournament started 2025/08/14 14:25:00 BRT [2025/08/14 13:25:00 ET]

  1: Gibamaks (Brazil), still playing
  2: Michi010269 (Germany), still playing
  3: Zsipali [2] (Hungary), still playing
  4: crossi51 (Germany), still playing
  5: snakey12345 (United Kingdom), still playing
  6: snvilla12800 (Austria), still playing
  7: souza1996 (Brazil), still playing
  8: Gabrielfs13 (Brazil), $20.19 (3.727%)
  9: fran1448 (Ireland), $20.19 (3.727%)
  10: MBJ24 (United Kingdom), $16.45 (3.037%)
  11: FMJR18 (United Kingdom), $16.45 (3.037%)
  12: KeeperBrasil [2] (Brazil), $13.03 (2.405%)
  13: DmnK5.2 (Germany), $13.03 (2.405%)
  14: fousthemis (Greece), $13.03 (2.405%)
  15: oGustavGans (Germany), $9.83 (1.814%)
  16: ragguu (Canada), $9.83 (1.814%)
  17: Dexxt3r (Mexico), $9.83 (1.814%)
  18: capster7 (Sweden), $6.77 (1.249%)
  19: Jonnnyxd [2] (Brazil), $6.77 (1.249%)
  20: mateinthree (Brazil), $6.77 (1.249%)
  21: VitorMira_2 (Brazil), $6.77 (1.249%)
  22: menba47 (Panama), $6.77 (1.249%)
  23: Poker1952 (Germany), $6.77 (1.249%)
  24: Swingbling (Sweden), $6.77 (1.249%)
  25: Petit Trot9 (Canada), 
  26: Neza1201 [2] (Brazil), 
  27: LuckybabyJ (Sweden), 
  28: hyppiespec (United Kingdom), 
  29: old dot (United Kingdom), 
  30: badknife [2] (Brazil), 
  31: SEQUELADZ (Brazil), 
  32: McDalton (Denmark), 
  33: TopSlow (Denmark), 
  34: SamSemilllia (Germany), 
  35: lassmari (Germany), 
  36: poitox (Belgium), 
  37: w4lrusk4ne (Belgium), 
  38: L.Giangiulio (Brazil), 
  39: redondo294 [2] (Albania), 
  40: lausbua1312 [2] (Austria), 
  41: Craneo WarZ (Chile), 
  42: homeguipe (Brazil), 
  43: santymiotti (Argentina), 
  44: leviMaterna (Germany), 
  45: Fuuuuuuull [2] (Brazil), 
  46: maxweld777 (Canada), 
  47: KOZoli1980 (Hungary), 
  48: cawsey70 [2] (United Kingdom), 
  49: delysid (Switzerland), 
  50: eaaeman (Brazil), 
  51: RamiRami1990 [2] (Brazil), 
  52: cpblades (Canada), 
  53: ntinos13ntin (Greece), 
  54: poolidol [2] (United Kingdom), 
  55: paulchilds1981 [2] (United Kingdom), 
  56: Cosmina66288 (Romania), 
  57: genndori (Greece), 
  58: OlhaComoVaii (Brazil), 
  59: Vavanovazoo [2] (Brazil), 
  60: Chillout2387 (Germany), 
  61: Angel GRIVS (Greece), 
  62: MonoC22 (Argentina), 
  63: cebolinha_rs (Brazil), 
  64: Ossi1993 (Germany), 
  65: jackandy (Germany), 
  66: frezy200 (Romania), 
  67: matfarm27 (United Kingdom), 
  68: Pikiniki ™ [2] (Brazil), 
  69: tvicentin (Brazil), 
  70: Reggie 10303 (Canada), 
  71: marko.qc2509 (Canada), 
  72: connor1467 (United Kingdom), 
  73: sylvoulabich (Belgium), 
  74: maguchi31 (Argentina), 
  75: keyhell (Brazil), 
  76: VIMAN-XXI [2] (Mexico), 
  77: petrostheak [2] (Greece), 
  78: M_acc537 (Brazil), 
  79: paulchilds1981 (United Kingdom), 
  80: petrostheak (Greece), 
  81: Shilebner (Switzerland), 
  82: Nikolov95 (Bulgaria), 
  83: RamiRami1990 (Brazil), 
  84: lengush (Finland), 
  85: Jenskr06 (Denmark), 
  86: lausbua1312 (Austria), 
  87: bertola12 (Brazil), 
  88: yeya0710 (Argentina), 
  89: tututiger (Brazil), 
  90: Lavrik15 (Ukraine), 
  91: kr1vv (Belarus), 
  92: RobberyByNight (Sweden), 
  93: Vavanovazoo (Brazil), 
  94: Memphis2792 [2] (Germany), 
  95: mousias99 [2] (Greece), 
  96: Memphis2792 (Germany), 
  97: Phassbinder (Ukraine), 
  98: ralfe.js (Brazil), 
  99: MauroSeifeR (Argentina), 
  100: Agussolari (Argentina), 
  101: lalomatias (Paraguay), 
  102: pacshakurr [2] (Bulgaria), 
  103: Arunas_Idas (Latvia), 
  104: lewbob24 (United Kingdom), 
  105: 2141236342311 (Finland), 
  106: Críssy [2] (United Kingdom), 
  107: blackleaver220 [2] (Greece), 
  108: OMGItsaShark (Brazil), 
  109: No One There (Latvia), 
  110: mesrem (Belgium), 
  111: pelelek (United Kingdom), 
  112: whateverDCM (Brazil), 
  113: Zsipali (Hungary), 
  114: MasterBoss71 (Argentina), 
  115: chel266 (United Kingdom), 
  116: kavalaris1 (Greece), 
  117: petrosant (Brazil), 
  118: XxMvPokeRxX (Brazil), 
  119: Jonnnyxd (Brazil), 
  120: gabrie1ju (Brazil), 
  121: yohvirus13 (Belgium), 
  122: Paulo_Pedros (Brazil), 
  123: grailbrdss (Ukraine), 
  124: KeeperBrasil (Brazil), 
  125: LEOZAWR (Austria), 
  126: Recreathor (Switzerland), 
  127: pacshakurr (Bulgaria), 
  128: DrPoita (Brazil), 
  129: badbill591 (Canada), 
  130: Varguinho91 (Brazil), 
  131: Pikiniki ™ (Brazil), 
  132: redondo294 (Albania), 
  133: Críssy (United Kingdom), 
  134: Dimitrio333 [2] (Ukraine), 
  135: cawsey70 (United Kingdom), 
  136: Dagobert1199 [2] (Germany), 
  137: badknife (Brazil), 
  138: mousias99 (Greece), 
  139: bruxo-jones (Brazil), 
  140: Marina141102 (United Kingdom), 
  141: romeo11lousi (Greece), 
  142: Dagobert1199 (Germany), 
  143: poolidol (United Kingdom), 
  144: Dimitrio333 (Ukraine), 
  145: Miketbe [2] (Malta), 
  146: Tyco76 (Belgium), 
  147: bruto2604 (Brazil), 
  148: VIMAN-XXI (Mexico), 
  149: AugustoE10 (Uruguay), 
  150: luucassouuza (Brazil), 
  151: Miketbe (Malta), 
  152: wladi1986 (Germany), 
  153: blackleaver220 (Greece), 
  154: JesperEmil (Denmark), 
  155: Fuuuuuuull (Brazil), 
  156: Neza1201 (Brazil), 
  157: McShark67 (United Kingdom), 

You finished in 8th place (eliminated at hand #257341833518).


