PokerStars Tournament #3918666753, No Limit Hold'em
Buy-In: $6.69/$0.81 USD
392 players
Total Prize Pool: $2622.48 USD 
Tournament started 2025/08/20 12:00:00 BRT [2025/08/20 11:00:00 ET]

  1: $$tr8 Hemp (Brazil), still playing
  2: 216ben216 [2] (Belarus), still playing
  3: ALEX_kingpk (Brazil), still playing
  4: Aleks EC (Brazil), still playing
  5: Andrey458 (Kazakhstan), still playing
  6: Andyboy1421 (Sweden), still playing
  7: AntanasV2 (Lithuania), still playing
  8: Arni100600 (Denmark), still playing
  9: AugustaGreen93 (United Kingdom), still playing
  10: BBoa19 (Brazil), still playing
  11: BOLIS_CTBA (Brazil), still playing
  12: Backcelebrator (Malta), still playing
  13: BaladeiroTV [2] (Brazil), still playing
  14: Bedze [3] (United Kingdom), still playing
  15: Benoni89 [2] (Denmark), still playing
  16: Beto Macedo CCH [2] (Brazil), still playing
  17: Candreva02 (Brazil), still playing
  18: CryMeARiver369 (Brazil), still playing
  19: DIR02 (Romania), still playing
  20: Daragh999 (Sweden), still playing
  21: DenilsonFerr (Brazil), still playing
  22: DistoKing (Brazil), still playing
  23: DizzleG23 (United Kingdom), still playing
  24: DjMarcelouzz (Argentina), still playing
  25: DonnaP17 [2] (United Kingdom), still playing
  26: Dr0kos (Malta), still playing
  27: Dr_RafaelMF (Brazil), still playing
  28: Dutra_Ítalo (Brazil), still playing
  29: EOREYES661 [2] (Mexico), still playing
  30: Evn7z (United Kingdom), still playing
  31: FlorianWTH (Belgium), still playing
  32: FumigAA (Brazil), still playing
  33: G_AlvesCP (Brazil), still playing
  34: Gabriel Tung (Brazil), still playing
  35: Gamb4zinho [2] (Brazil), still playing
  36: Gamblex21 (Belgium), still playing
  37: Gardosaa (Sweden), still playing
  38: Gooyek01 (Brazil), still playing
  39: GritFab (Austria), still playing
  40: GustavoWSOP (Brazil), still playing
  41: Gutolipas (Brazil), still playing
  42: HappyOKA (Belarus), still playing
  43: Helst (Sweden), still playing
  44: HeySunGod (Greece), still playing
  45: HugoCAM1908 (Brazil), still playing
  46: Iustinul (Romania), still playing
  47: J=Jay 81 (Belgium), still playing
  48: Jamyson1 (Brazil), still playing
  49: Joag_1_ (Brazil), still playing
  50: Juniorke01 (Belgium), still playing
  51: Juvituu (Brazil), still playing
  52: Kuringa_Gyn (Brazil), still playing
  53: L.Giangiulio [2] (Brazil), still playing
  54: Lanze778 (Germany), still playing
  55: Lestatdiego (Japan), still playing
  56: Lilucali (Brazil), still playing
  57: Linha EA (Brazil), still playing
  58: LucaasAK747 [2] (Brazil), still playing
  59: Lucky4Phil [3] (Germany), still playing
  60: MWCHESS (Brazil), still playing
  61: Mariante20 (Brazil), still playing
  62: MastaManson (Germany), still playing
  63: McMathos92 (Germany), still playing
  64: Miawnel11 (Romania), still playing
  65: MosquitoGG [2] (Brazil), still playing
  66: MrsP2U25 [2] (Canada), still playing
  67: MuChO_P()KeR (Panama), still playing
  68: Nikabuloso (Brazil), still playing
  69: Nikolov95 [2] (Bulgaria), still playing
  70: Ninjago_16 (Switzerland), still playing
  71: No One There (Latvia), still playing
  72: NovakDaGoat (Canada), still playing
  73: Oleg Bereza (Ukraine), still playing
  74: P3chel (Brazil), still playing
  75: Paannts [2] (Brazil), still playing
  76: Pikiniki ™ [3] (Brazil), still playing
  77: PrincessSASHA14 (Canada), still playing
  78: PsiloPS (Brazil), still playing
  79: Pysgodyn (United Kingdom), still playing
  80: RCP.Lima (Brazil), still playing
  81: RamiRami1990 (Brazil), still playing
  82: RenanLaPola (Brazil), still playing
  83: RivermanGdan (Romania), still playing
  84: RonanAndreu (Brazil), still playing
  85: SHENG082 (Japan), still playing
  86: SaibOt91 (Sweden), still playing
  87: Sambeldor (Switzerland), still playing
  88: Sebo Tulio (Argentina), still playing
  89: Shilebner [2] (Switzerland), still playing
  90: SlimShame (Belgium), still playing
  91: Sn0wba11 (Kazakhstan), still playing
  92: Spectro150 (Brazil), still playing
  93: Svetlio7811 (Bulgaria), still playing
  94: SwedishSpursFan (Sweden), still playing
  95: THIAGO.DODO (Brazil), still playing
  96: T_HIGASHI (Brazil), still playing
  97: Thaleibol (Brazil), still playing
  98: TheWhiteMark (Brazil), still playing
  99: Tibiano2 (Brazil), still playing
  100: Tonzera (Brazil), still playing
  101: Torvijah (Brazil), still playing
  102: UnrealStars (Ukraine), still playing
  103: VJuanV (Argentina), still playing
  104: VeganMan420 (United Kingdom), still playing
  105: Vinpocetin81 (Belarus), still playing
  106: WiYoWeHe (Ukraine), still playing
  107: YuriPróPoker (Brazil), still playing
  108: aaases333 (United Kingdom), still playing
  109: acr3an0 (Brazil), still playing
  110: akwebber [2] (Brazil), still playing
  111: allehayax [2] (Brazil), still playing
  112: amandinha27 (Brazil), still playing
  113: anup returns (United Kingdom), still playing
  114: asafderg (Hungary), still playing
  115: bergue12 (Brazil), still playing
  116: blostaco (Brazil), still playing
  117: boblangster6 (Brazil), still playing
  118: brian 27979 (United Kingdom), still playing
  119: cappybmse (Hungary), still playing
  120: cebolinha_rs (Brazil), still playing
  121: cerqueiracomvu (Brazil), still playing
  122: chapo0687 (Mexico), still playing
  123: cheapplayer1 [2] (Canada), still playing
  124: chevim97 (Brazil), still playing
  125: chrischris44 (Argentina), still playing
  126: collers (Slovenia), still playing
  127: cpasmoe (Canada), still playing
  128: cpobenn (Canada), still playing
  129: crega11 (Sweden), still playing
  130: csmala77 (Brazil), still playing
  131: dave_eba (United Kingdom), still playing
  132: diera28 [2] (Greece), still playing
  133: extezzy1 (Kazakhstan), still playing
  134: fechaud (Brazil), still playing
  135: fpccosta (Brazil), still playing
  136: fran1448 (Ireland), still playing
  137: gabruxinha (Brazil), still playing
  138: gabu4u (Brazil), still playing
  139: gogosaru2005 (Romania), still playing
  140: gorbarroca [2] (Brazil), still playing
  141: greg3031 (Brazil), still playing
  142: guiasato [2] (Brazil), still playing
  143: guictedesco (Brazil), still playing
  144: gutin9977 (Brazil), still playing
  145: igolas (Lithuania), still playing
  146: ilejr (Finland), still playing
  147: janariellistars (Brazil), still playing
  148: johny_mac32 (Greece), still playing
  149: jum_gui (Brazil), still playing
  150: kabalerabr (Brazil), still playing
  151: kaiolz10 (Brazil), still playing
  152: kegrr (Sweden), still playing
  153: kevindelucci (Brazil), still playing
  154: kiuporto (Brazil), still playing
  155: korshh (Ukraine), still playing
  156: koshmaar (Estonia), still playing
  157: kred2000 (Sweden), still playing
  158: l0ckedd0wn (United Kingdom), still playing
  159: lauromtb (Brazil), still playing
  160: lelo1603 (Brazil), still playing
  161: leocastrob17 [2] (Brazil), still playing
  162: lordanell (Thailand), still playing
  163: m0t22 (Brazil), still playing
  164: m19hmoud79 (United Kingdom), still playing
  165: maicon.levis01 (Brazil), still playing
  166: maksim.shunin (Germany), still playing
  167: marlon ol307 (Brazil), still playing
  168: mmarvig (Bulgaria), still playing
  169: mondini2411 (Brazil), still playing
  170: oilucas2007 (Brazil), still playing
  171: oneTIMEkid8 (Canada), still playing
  172: oquesou7 [2] (Brazil), still playing
  173: piqueflow (Brazil), still playing
  174: pitty22 (Argentina), still playing
  175: ppiillee (Germany), still playing
  176: proprietary#11 (Lithuania), still playing
  177: puggie06 (United Kingdom), still playing
  178: rafarecife96 (Brazil), still playing
  179: remat999 (United Kingdom), still playing
  180: riva-poa (Brazil), still playing
  181: roby_19741 (Romania), still playing
  182: rodsferraz (Brazil), still playing
  183: rogerfed1 (Romania), still playing
  184: sKAro1201 [2] (Switzerland), still playing
  185: samuka1983 (Brazil), still playing
  186: sh0nl1ne (Switzerland), still playing
  187: sh7eva (Kazakhstan), still playing
  188: sherif_br [2] (Brazil), still playing
  189: spinaround777 (Germany), still playing
  190: sraightbleff (Slovenia), still playing
  191: sthedopoker (Brazil), still playing
  192: sweetjane33 (Canada), still playing
  193: taxijohn (Canada), still playing
  194: tenrafaelpai (Brazil), still playing
  195: thematsku (Finland), still playing
  196: theomatador [3] (Brazil), still playing
  197: tiag1 (Brazil), still playing
  198: tmsantos14 [2] (Brazil), still playing
  199: tobim4ru (Chile), still playing
  200: trotmant (United Kingdom), still playing
  201: tslour (Brazil), still playing
  202: valicki23 (Brazil), still playing
  203: vatanclan123 (Austria), still playing
  204: vbxTT (Brazil), still playing
  205: viihsantoos [2] (Brazil), still playing
  206: woxix (Latvia), still playing
  207: xavi66 (United Kingdom), still playing
  208: yasnaka [2] (Japan), still playing
  209: zagaia011 (Brazil), still playing
  210: KBCAGG (Brazil), 
  211: Gabrielfs13 (Brazil), 
  212: dan6794 (United Kingdom), 
  213: f3ckoff (Germany), 
  214: juliano.12ms (Brazil), 
  215: Richard 2399 (Brazil), 
  216: dcurvo (Brazil), 
  217: joaopia (Brazil), 
  218: NathanBradley (United Kingdom), 
  219: Enex96 (Germany), 
  220: chigold (Estonia), 
  221: Vesper22221 [2] (Kazakhstan), 
  222: Psicodanger (Brazil), 
  223: praiabrava44 (Brazil), 
  224: Fred10rabelo (Brazil), 
  225: biggi46 (Germany), 
  226: gallic8 (Sweden), 
  227: wilviny (Brazil), 
  228: DuNiquele (Brazil), 
  229: HowieMcOne [3] (Switzerland), 
  230: Leew79 (United Kingdom), 
  231: DuuShimizu (Brazil), 
  232: TakashiEsa (Brazil), 
  233: MatheusBT1992 (Brazil), 
  234: NineBe [2] (Brazil), 
  235: Vludin (Belarus), 
  236: Patricio8291 (Argentina), 
  237: Henk88 (Germany), 
  238: The Yasuo [2] (Brazil), 
  239: Kleber Thau [2] (Brazil), 
  240: Pikiniki ™ [2] (Brazil), 
