PokerStars Tournament #3920442430, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
896 players
Total Prize Pool: $7520.00 USD 
Tournament started 2025/08/21 12:30:00 BRT [2025/08/21 11:30:00 ET]

  1: #c_jr15 (Brazil), still playing
  2: $$tr8 Hemp (Brazil), still playing
  3: -shameLi- (Switzerland), still playing
  4: 00AceToFace (Slovakia), still playing
  5: 00gap00 (Brazil), still playing
  6: 09sss02 (Armenia), still playing
  7: 101funt186 (Ukraine), still playing
  8: 1MERCIER1 (Ukraine), still playing
  9: 1alex1987 (Romania), still playing
  10: 30516632 (Brazil), still playing
  11: 420dagger (Brazil), still playing
  12: 4THEGLORY4 (Romania), still playing
  13: 4akuFT (Ukraine), still playing
  14: 4pokan (Belarus), still playing
  15: 69_sinwithme (Ukraine), still playing
  16: 72offfz (Brazil), still playing
  17: 89adriel (Brazil), still playing
  18: A1waysW1n (Ukraine), still playing
  19: AAdiniz (Brazil), still playing
  20: AByS19 (Germany), still playing
  21: ALLinho1010 (Brazil), still playing
  22: AMululo (Brazil), still playing
  23: ANachi20 (Argentina), still playing
  24: ARICCI.BOSSO (Greece), still playing
  25: ASA94 (Brazil), still playing
  26: AamiUa (Ukraine), still playing
  27: AcesBrewery [2] (Argentina), still playing
  28: Agentul05 (Romania), still playing
  29: AlekseiNorel (Ukraine), still playing
  30: AlexBogla (Ukraine), still playing
  31: AlexPerez77 (Brazil), still playing
  32: AlexSanchezaz (Ukraine), still playing
  33: Alfie6421 (Canada), still playing
  34: Alika DJ (Argentina), still playing
  35: Analya9 (Romania), still playing
  36: AndreiGroupStar (United Kingdom), still playing
  37: AndriuxaN (Lithuania), still playing
  38: Ant.Ian.14 [2] (Mexico), still playing
  39: AntenorN (Brazil), still playing
  40: Antonio199211 [2] (Kyrgyzstan), still playing
  41: Armoureddh7 (Ukraine), still playing
  42: Arnisss (United Kingdom), still playing
  43: Artemq4 (Kazakhstan), still playing
  44: AvlAsOne (Belarus), still playing
  45: AyrtonAA95 (Brazil), still playing
  46: B4rdy [2] (United Kingdom), still playing
  47: BARCA77 (Estonia), still playing
  48: BCarneiro 86 (Brazil), still playing
  49: BaXTeP.ua (Ukraine), still playing
  50: BeauB3au (Ireland), still playing
  51: Benitoj19 (Argentina), still playing
  52: Benvenuti 98 (Brazil), still playing
  53: Bertuqui420 (Brazil), still playing
  54: Beto Macedo CCH (Brazil), still playing
  55: BillyStar666 (Belgium), still playing
  56: Bl4ckCat77 (Brazil), still playing
  57: Black_Motya (Belarus), still playing
  58: BladimipoBu4 (Ukraine), still playing
  59: BlessedTrue (Belarus), still playing
  60: Bmm59 (Brazil), still playing
  61: BmxALLin (Brazil), still playing
  62: Bogatyrev777 (Lithuania), still playing
  63: Bozhenko I. (Ukraine), still playing
  64: Brams-Brams (Ukraine), still playing
  65: Brat_Tremzina (Belarus), still playing
  66: Bronya84 [2] (Belarus), still playing
  67: BrunoPrado20 (Brazil), still playing
  68: Bruno_sta (Brazil), still playing
  69: Brunodellas (Brazil), still playing
  70: Burlaka780 (Canada), still playing
  71: Butcherofblavi (Sweden), still playing
  72: Byzesoze (United Kingdom), still playing
  73: C0mpetition (Ukraine), still playing
  74: CA348 (United Kingdom), still playing
  75: CMESSAA (Brazil), still playing
  76: CNair95 (Brazil), still playing
  77: Calin9720 (Romania), still playing
  78: Chameleon_ki (Ukraine), still playing
  79: Chroonic (Brazil), still playing
  80: Chuurk [2] (Brazil), still playing
  81: Cinhos_2000 (Germany), still playing
  82: Clairwolf (Canada), still playing
  83: Clandestin07 (Brazil), still playing
  84: Coloboration (Belarus), still playing
  85: Com Sort3 (Brazil), still playing
  86: Cundonk (Argentina), still playing
  87: Cydonia75 (United Kingdom), still playing
  88: D1360Pereira (Brazil), still playing
  89: DAGUEME (Brazil), still playing
  90: DAKO11AA (Belgium), still playing
  91: DIOGDEB (Luxembourg), still playing
  92: D_Equalizer (Germany), still playing
  93: Dalva$tar (Brazil), still playing
  94: Damien666509 (United Kingdom), still playing
  95: Daniel Panka (Finland), still playing
  96: Danilo611 (Uruguay), still playing
  97: DaniloPMPB (Brazil), still playing
  98: DanteWinch (Brazil), still playing
  99: Daragh999 (Sweden), still playing
  100: De_Schlingel (Germany), still playing
  101: DeddysHome (Brazil), still playing
  102: DespUA (Ukraine), still playing
  103: Destroy95 (Brazil), still playing
  104: Deuces2353 (Romania), still playing
  105: Dezotcho (Brazil), still playing
  106: DiMastodon (Brazil), still playing
  107: Domasasas [2] (Lithuania), still playing
  108: Drazz0612 (United Kingdom), still playing
  109: EOBIXXX (Brazil), still playing
  110: El_fuego_177 (Kazakhstan), still playing
  111: Enzito Viana (Brazil), still playing
  112: Erica2131 (Hungary), still playing
  113: Estimahaha (Brazil), still playing
  114: Evn7z [2] (United Kingdom), still playing
  115: FANCYCELERiO (United Kingdom), still playing
  116: FFForce! (Romania), still playing
  117: FRANKY820 (Germany), still playing
  118: FaKo22419 (Germany), still playing
  119: Fael Dopoker (Brazil), still playing
  120: Fantom453 (Ukraine), still playing
  121: Farcuesall (New Zealand), still playing
  122: FasteR3333 (Ukraine), still playing
  123: FecouFredes (Chile), still playing
  124: FelixAce00 (Germany), still playing
  125: Fernandooluizz (Brazil), still playing
  126: Flmatta88 (Brazil), still playing
  127: Florica89 (Romania), still playing
  128: FoRm4T (Brazil), still playing
  129: Fogdoki (Hungary), still playing
  130: FrackReynolds22 (United Kingdom), still playing
  131: FulllFlush (Belgium), still playing
  132: GPBeltomo1 (Argentina), still playing
  133: GPegado (Brazil), still playing
  134: GSPoker90 (Brazil), still playing
  135: GTavares013 (Brazil), still playing
  136: G_AlvesCP (Brazil), still playing
  137: Ganjabriel (Chile), still playing
  138: GenteFina93 (Brazil), still playing
  139: Gerra_up (Thailand), still playing
  140: Gev47 (Armenia), still playing
  141: Gianiaki (Brazil), still playing
  142: Giant Dregg (Brazil), still playing
  143: Giggo73 (Denmark), still playing
  144: Gilberto.gyn (Brazil), still playing
  145: Giulianno Ma (Brazil), still playing
  146: Gmirchev (Bulgaria), still playing
  147: Gomide30 (Brazil), still playing
  148: Good Hyena (Ukraine), still playing
  149: GoodmanAR (Argentina), still playing
  150: Gran Diablo (Argentina), still playing
  151: Green_Aleks (Ireland), still playing
  152: GrigoryShilyaev (Kazakhstan), still playing
  153: Gugrand (Brazil), still playing
  154: Gui_Campos90 (Brazil), still playing
  155: Guiga_Eller (Brazil), still playing
  156: Guii_LF (Brazil), still playing
  157: Guikata [2] (Brazil), still playing
  158: Gummi70 (Germany), still playing
  159: GustavoWSOP (Brazil), still playing
  160: Had_S2_Sena (Brazil), still playing
  161: Harbingerr1 (Ukraine), still playing
  162: HenryMorr378 (United Kingdom), still playing
  163: I.Shkriblyak (Ukraine), still playing
  164: IXXTonyXXI (Brazil), still playing
  165: I_che_tut_delat (Belarus), still playing
  166: IamSEBmusic [2] (Thailand), still playing
  167: IamTABASCO (Ukraine), still playing
  168: IgorMV85 (Ukraine), still playing
  169: IgorSNK (Brazil), still playing
  170: IgorexaUA (Ukraine), still playing
  171: InfinityRT (Brazil), still playing
  172: Ioannamsk [2] (Greece), still playing
  173: Iustinul (Romania), still playing
  174: J0rd4OOO (Brazil), still playing
  175: JGLEDESMA (Brazil), still playing
  176: JPMalicia (Brazil), still playing
  177: Jamo855 (United Kingdom), still playing
  178: Jan10011989 (Germany), still playing
  179: JanoCR3 (Brazil), still playing
  180: Jay nuts bcc (Greece), still playing
  181: Jaziel1998 (Mexico), still playing
  182: Jbarroso10 (Brazil), still playing
  183: JennyDoom (Germany), still playing
  184: Jeremi3597 (Ukraine), still playing
  185: Jerres21 (Belgium), still playing
  186: Joabe ;D (Brazil), still playing
  187: JoanaBahia (Brazil), still playing
  188: JoaoEstrela0 (Brazil), still playing
  189: Jonnnyxd [2] (Brazil), still playing
  190: JooseeT (Brazil), still playing
  191: Jud Kru (Argentina), still playing
  192: Julali (Switzerland), still playing
  193: Juniorke01 (Belgium), still playing
  194: JustPro10 (Bulgaria), still playing
  195: JustSkul (Thailand), still playing
  196: Juvituu (Brazil), still playing
  197: JvS006 (Brazil), still playing
  198: KOHb_blr (Belarus), still playing
  199: KV*MerzaveC* (Ukraine), still playing
  200: Kalinskih112 (Finland), still playing
  201: Karolukas51 (Lithuania), still playing
  202: Ketamine2801 (Romania), still playing
  203: Killinfields (Romania), still playing
  204: Killjedan (Ukraine), still playing
  205: KinAl-dr (Belarus), still playing
  206: KkHurleyBrkK (Brazil), still playing
  207: Kobojo (Ukraine), still playing
  208: Krossby (Romania), still playing
  209: KuznevychK (Ukraine), still playing
  210: LFMC027 (Brazil), still playing
  211: LLEVENOMA (Argentina), still playing
  212: LOCO-FEDE21 (Argentina), still playing
  213: LUCKY57R1K3 (Hungary), still playing
  214: Langers1996 [3] (United Kingdom), still playing
  215: Lazorka (Belarus), still playing
  216: Lega030366 (Ukraine), still playing
  217: Leleco67 (Brazil), still playing
  218: Lenst666 (Ukraine), still playing
  219: LeoHeckk (Brazil), still playing
  220: Likhoradka (Kazakhstan), still playing
  221: LirioVictor (Brazil), still playing
  222: Lisa_Swe (Sweden), still playing
  223: Lissy088 [2] (Germany), still playing
