PokerStars Tournament #3916201917, No Limit Hold'em
Buy-In: $10.27/$0.73 USD
384 players
Total Prize Pool: $3943.68 USD 
Tournament started 2025/08/09 17:35:00 BRT [2025/08/09 16:35:00 ET]

  1: YureRML (Brazil), still playing
  2: arhs1994 (Greece), still playing
  3: eskobar30 (Austria), still playing
  4: Gabrielfs13 (Brazil), $255.09 (6.468%)
  5: novagoh (Mexico), $180.27 (4.571%)
  6: Ghosst-11 (Argentina), $127.39 (3.23%)
  7: PulseChain1 (United Kingdom), $90.03 (2.282%)
  8: frizzobruno (Brazil), $73.43 (1.861%)
  9: Dazzleflare (United Kingdom), $73.43 (1.861%)
  10: gfp24 (Luxembourg), $59.90 (1.518%)
  11: AlexPerez77 (Brazil), $59.90 (1.518%)
  12: Deltapf (Brazil), $48.85 (1.238%)
  13: renkee27 (Germany), $48.85 (1.238%)
  14: The_Senseman (Germany), $39.85 (1.01%)
  15: R£SILI£NC£ (Brazil), $39.85 (1.01%)
  16: FlaShhXx47 (Hungary), $39.85 (1.01%)
  17: Zwarteduif (Belgium), $39.85 (1.01%)
  18: Mackan102 [2] (Sweden), $39.85 (1.01%)
  19: bengtkassler (Sweden), $39.85 (1.01%)
  20: Alzh3im3r (Morocco), $39.85 (1.01%)
  21: techgeek475 (United Kingdom), $32.50 (0.824%)
  22: knerrad29 (United Kingdom), $32.50 (0.824%)
  23: delysid (Switzerland), $32.50 (0.824%)
  24: giank99 (Argentina), $32.50 (0.824%)
  25: niko1795 (Germany), $32.50 (0.824%)
  26: Bodinho23 (Germany), $32.50 (0.824%)
  27: blaboub (Canada), $32.50 (0.824%)
  28: Bronkoletti (Germany), $26.51 (0.672%)
  29: mrcoffee01 (Brazil), $26.51 (0.672%)
  30: gonzaaguirre2 (Argentina), $26.51 (0.672%)
  31: MarioDutraJR (Brazil), $26.51 (0.672%)
  32: HinataShoyo01 (Austria), $26.51 (0.672%)
  33: Str8upGay (Sweden), $26.51 (0.672%)
  34: Kitfc Kat (United Kingdom), $26.51 (0.672%)
  35: Skal (United Kingdom), $26.51 (0.672%)
  36: Spirit[Rei] [2] (Brazil), $26.51 (0.672%)
  37: DJÄxel (Germany), $26.51 (0.672%)
  38: DarkSkies21 [2] (Brazil), $26.51 (0.672%)
  39: Loorven (Sweden), $26.51 (0.672%)
  40: Abdalinha26 (Brazil), $26.51 (0.672%)
  41: CocaColaZero93 (Switzerland), $26.51 (0.672%)
  42: BoredLucan (United Kingdom), $21.62 (0.548%)
  43: Brcislav (Slovakia), $21.62 (0.548%)
  44: AchilliesDb9 (United Kingdom), $21.62 (0.548%)
  45: Patrick Maya (Brazil), $21.62 (0.548%)
  46: Lilita88 (Bulgaria), $21.62 (0.548%)
  47: b3418 (Slovakia), $21.62 (0.548%)
  48: jakehazard (United Kingdom), $21.62 (0.548%)
  49: AndyC96 (Canada), $21.62 (0.548%)
  50: fns1985 (Brazil), $21.62 (0.548%)
  51: AokiJrBr (Brazil), $21.62 (0.548%)
  52: pROdGeee (Romania), $21.62 (0.548%)
  53: X!DoMyBestX (Ukraine), $21.62 (0.548%)
  54: Eazy Monroe (Germany), $21.62 (0.548%)
