PokerStars Tournament #3908028276, No Limit Hold'em
Buy-In: $15.50/$1.00 USD
184 players
Total Prize Pool: $1380.00 USD 
Tournament started 2025/07/16 17:45:00 BRT [2025/07/16 16:45:00 ET]

  1: 1717Ben [3] (United Kingdom), still playing
  2: 2smuckit (Canada), still playing
  3: AlexBlatt16 [4] (Germany), still playing
  4: AlexClaude [2] (Canada), still playing
  5: Alphacdrgbrg (Sweden), still playing
  6: Antion88 [2] (Greece), still playing
  7: BOCA950 (Brazil), still playing
  8: Bammann13 (Germany), still playing
  9: Bastofthebunch (United Kingdom), still playing
  10: Bingo Wilson (Canada), still playing
  11: Breckmann95 (Faroe Islands), still playing
  12: ChrisMichael89 (Sweden), still playing
  13: Coast98 (Brazil), still playing
  14: Dazzleflare [2] (United Kingdom), still playing
  15: Drdri21 (Greece), still playing
  16: ElaineHurley (United Kingdom), still playing
  17: GARYTHEROCK (United Kingdom), still playing
  18: HeartDr66 (Romania), still playing
  19: IronHydride (United Kingdom), still playing
  20: JamieCarra (United Kingdom), still playing
  21: JonathanSa12 [2] (Brazil), still playing
  22: Jyzeej (United Kingdom), still playing
  23: Kapial15 (Brazil), still playing
  24: Lannes29 (Brazil), still playing
  25: Mtzn (Brazil), still playing
  26: Mutarov83 (Bulgaria), still playing
  27: NicceLem (Sweden), still playing
  28: Niceman63 [2] (Luxembourg), still playing
  29: Olipoli320 (United Kingdom), still playing
  30: Otrava87 (Jersey), still playing
  31: Patosplayer (Brazil), still playing
  32: Pisein31415 (Brazil), still playing
  33: RadjaN44 [2] (Belgium), still playing
  34: Randall37 [2] (Denmark), still playing
  35: Sitting_1n [2] (United Kingdom), still playing
  36: Tonollo (Germany), still playing
  37: Valean Paula (Romania), still playing
  38: Wurst0 (Germany), still playing
  39: Zeifod (Bulgaria), still playing
  40: arrozsolto (Brazil), still playing
  41: benny1990 (Germany), still playing
  42: bombexploded [3] (Brazil), still playing
  43: bubs26 [3] (Sweden), still playing
  44: claudiocaje (Brazil), still playing
  45: d0d0s385 [2] (Greece), still playing
  46: denismoges01 (Belgium), still playing
  47: elcrabon93 (Denmark), still playing
  48: ezway56 [3] (Greece), still playing
  49: gbnio (Greece), still playing
  50: greg2pointuhoh (Canada), still playing
  51: hulidelat (Ukraine), still playing
  52: jurezz (Germany), still playing
  53: kerger1979 (Belgium), still playing
  54: lainghej [2] (United Kingdom), still playing
  55: leoduarte13 (Brazil), still playing
  56: lilakos (Greece), still playing
  57: makuba22 [2] (Estonia), still playing
  58: ninetysilver [3] (Kazakhstan), still playing
  59: p0kersmurF92 (Sweden), still playing
  60: prellobsv (Germany), still playing
  61: prohan94 [2] (Sweden), still playing
  62: proprietary#11 (Lithuania), still playing
  63: qnicke (Sweden), still playing
  64: sbj1000 (Denmark), still playing
  65: senia138 (Slovenia), still playing
  66: skalar445 (Bulgaria), still playing
  67: soapy85 [2] (United Kingdom), still playing
  68: telamandoo (Argentina), still playing
  69: topazzz89 (Belarus), still playing
  70: vpisjak (Latvia), still playing
  71: wintowin422 (Argentina), still playing
  72: Gabrielfs13 (Brazil), 
  73: Groovyxxx (Hungary), 
  74: 175423411 [2] (Sweden), 
