PokerStars Tournament #3911992467, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
66 players
Total Prize Pool: $470.00 USD 
Tournament started 2025/07/23 14:17:15 BRT [2025/07/23 13:17:15 ET]

  1: 77edo (Hungary), still playing
  2: BALAWA [2] (United Kingdom), still playing
  3: BananaJoe73 (Germany), still playing
  4: Bozo Bozal (Brazil), still playing
  5: Davejansson125 (Finland), still playing
  6: Farmose (Denmark), still playing
  7: Gooyek01 (Brazil), still playing
  8: IIIINGENSSSS (Canada), still playing
  9: Just rag it (Ireland), still playing
  10: Maulwurf008 (Germany), still playing
  11: MazzaGR (Greece), still playing
  12: Moulagow (Ireland), still playing
  13: Owaint016 [2] (United Kingdom), still playing
  14: RickardRauge (Sweden), still playing
  15: SuedeChick [2] (Finland), still playing
  16: USD1571 (United Kingdom), still playing
  17: VictorJA020 [2] (Denmark), still playing
  18: XxMvPokeRxX (Brazil), still playing
  19: ZMLucker (United Kingdom), still playing
  20: advluzj (Brazil), still playing
  21: ajugar1 (Chile), still playing
  22: bennyf6256 (United Kingdom), still playing
  23: bernd-erb (Germany), still playing
  24: big$$E775 [2] (Germany), still playing
  25: botzanu (Romania), still playing
  26: cucabeludinhooo (Brazil), still playing
  27: fabiomweide (Brazil), still playing
  28: hotshotknick [2] (Sweden), still playing
  29: jessicaraymo (United Kingdom), still playing
  30: kevindelucci (Brazil), still playing
  31: leonutri86 (Brazil), still playing
  32: liverpool521 (Greece), still playing
  33: lizzy1971 (Germany), still playing
  34: louisbinns (United Kingdom), still playing
  35: marioD76 (Germany), still playing
  36: mateinthree (Brazil), still playing
  37: panzer567 (Chile), still playing
  38: pescadorbh (Brazil), still playing
  39: sexynanny [2] (Canada), still playing
  40: sto99 db (Romania), still playing
  41: tavpokero (Brazil), still playing
  42: vinegarvera (United Kingdom), still playing
  43: Gabrielfs13 (Brazil), 
  44: No One There (Latvia), 
  45: sexynanny (Canada), 
  46: DiMastodon (Brazil), 
  47: VictorJA020 (Denmark), 
  48: gpap241182 (Greece), 
  49: Owaint016 (United Kingdom), 
  50: WPTdibby (Canada), 
  51: alb043 (Canada), 
  52: RDSlong (Ukraine), 
  53: nachi2112 (Argentina), 
  54: RadiMC (Bulgaria), 
  55: msolti (Hungary), 
  56: plesnicata (Bulgaria), 
  57: BALAWA (United Kingdom), 
  58: big$$E775 (Germany), 
  59: hotshotknick (Sweden), 
  60: McLaden2712 (Sweden), 
  61: eaaeman (Brazil), 
  62: wladi1986 (Germany), 
  63: GRP013 [2] (United Kingdom), 
  64: SuedeChick (Finland), 
  65: patricia15 (Belgium), 
  66: GRP013 (United Kingdom), 
You finished the tournament (eliminated at hand #257060001838).


