PokerStars Tournament #3912271823, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
61 players
Total Prize Pool: $495.00 USD 
Tournament started 2025/07/24 12:34:16 BRT [2025/07/24 11:34:16 ET]

  1: Alubob19 (Germany), still playing
  2: Bozo Bozal (Brazil), still playing
  3: Burlaka780 (Canada), still playing
  4: Chaos sentinel (United Kingdom), still playing
  5: DiMastodon (Brazil), still playing
  6: FISHCAKECITY (United Kingdom), still playing
  7: Fuuuuuuull (Brazil), still playing
  8: Goodzilla_real (Switzerland), still playing
  9: Grimoire80 (Denmark), still playing
  10: JOshuaBings (Austria), still playing
  11: MILKEVICH88 [2] (Ukraine), still playing
  12: Malandron_22 (Brazil), still playing
  13: Milhorini (Brazil), still playing
  14: Mitric24 (Romania), still playing
  15: No One There (Latvia), still playing
  16: Rebozeio (Brazil), still playing
  17: SoInsane (Germany), still playing
  18: T0bzen (Denmark), still playing
  19: TheDorkSlayer (United Kingdom), still playing
  20: V.Suzuki7 (Brazil), still playing
  21: badknife [2] (Brazil), still playing
  22: bmaans [2] (Denmark), still playing
  23: caio_conrado13 (Brazil), still playing
  24: chokata (Bulgaria), still playing
  25: denwer1994 (Belarus), still playing
  26: eliasnessim (Panama), still playing
  27: fabiomweide (Brazil), still playing
  28: juñior75 (Mexico), still playing
  29: mi5_89 (Ireland), still playing
  30: nicocanalla8 [2] (Argentina), still playing
  31: ovidiuzxc (Romania), still playing
  32: pEaCa545 (Bulgaria), still playing
  33: paddy253 (United Kingdom), still playing
  34: phatgirls (United Kingdom), still playing
  35: plesnicata (Bulgaria), still playing
  36: slamgr (Greece), still playing
  37: ugidugi87 (Bulgaria), still playing
  38: vagabomm (Malta), still playing
  39: woolfriend (Thailand), still playing
  40: Gabrielfs13 (Brazil), 
  41: ParisBlonde (Switzerland), 
  42: serpantin1 (Kazakhstan), 
  43: SD ANDRE (Brazil), 
  44: Heinomat [2] (Austria), 
  45: louisbinns (United Kingdom), 
  46: sto99 db (Romania), 
  47: wladi1986 (Germany), 
  48: leggy136 (United Kingdom), 
  49: Niceman63 [2] (Luxembourg), 
  50: MILKEVICH88 (Ukraine), 
  51: Heinomat (Austria), 
  52: eaaeman (Brazil), 
  53: bmaans (Denmark), 
  54: badknife (Brazil), 
  55: Niceman63 (Luxembourg), 
  56: luckyboy8205 (Canada), 
  57: Jacpot555 (Ukraine), 
  58: niko928 (Germany), 
  59: KeenSekiro (Slovenia), 
  60: nicocanalla8 (Argentina), 
  61: simple32 (Brazil), 
You finished the tournament (eliminated at hand #257071249385).


