PokerStars Tournament #3912358388, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
74 players
Total Prize Pool: $430.00 USD 
Tournament started 2025/07/24 17:54:51 BRT [2025/07/24 16:54:51 ET]

  1: AdiM35 (Slovenia), still playing
  2: Big Gareth (United Kingdom), still playing
  3: ChaseTyler14 (Canada), still playing
  4: DELC4 (Brazil), still playing
  5: FAXE86 (Germany), still playing
  6: GL IN KFC (United Kingdom), still playing
  7: GNR2017 (Canada), still playing
  8: Kartajana [2] (United Kingdom), still playing
  9: KleitonSilva (Brazil), still playing
  10: MCWRIGHTY (United Kingdom), still playing
  11: Markki_V (Brazil), still playing
  12: NCav0808 (United Kingdom), still playing
  13: Niceman63 (Luxembourg), still playing
  14: Nicztarr (Germany), still playing
  15: Núbia [2] (Brazil), still playing
  16: OneSh0tt (Germany), still playing
  17: RIPsletje27 (Belgium), still playing
  18: RamiRami1990 (Brazil), still playing
  19: Robinho2611 [2] (United Kingdom), still playing
  20: Steekarn (Sweden), still playing
  21: TIGHTPRO87 (United Kingdom), still playing
  22: TheDorkSlayer (United Kingdom), still playing
  23: Varslorss (Greece), still playing
  24: XandersAn (Brazil), still playing
  25: XxMvPokeRxX (Brazil), still playing
  26: alekmk567 (Denmark), still playing
  27: blomman5 (Sweden), still playing
  28: brabaja [2] (Sweden), still playing
  29: cuzza-i (United Kingdom), still playing
  30: eaaeman (Brazil), still playing
  31: fosil128 [2] (Argentina), still playing
  32: gacr 43 (United Kingdom), still playing
  33: guimcra (Brazil), still playing
  34: hotshotknick [2] (Sweden), still playing
  35: image93 (Latvia), still playing
  36: knerrad29 (United Kingdom), still playing
  37: kriso976 (Bulgaria), still playing
  38: lfw333 (United Kingdom), still playing
  39: lino19771977 (Germany), still playing
  40: maioli1407 (Brazil), still playing
  41: mandakasis (Greece), still playing
  42: mhvalverde (Brazil), still playing
  43: njr5088 (Brazil), still playing
  44: onlydrunkreg [3] (Brazil), still playing
  45: plesnicata (Bulgaria), still playing
  46: randa55 (Costa Rica), still playing
  47: rooney346 [2] (United Kingdom), still playing
  48: sillyilly1 (Ireland), still playing
  49: tricanoir (Canada), still playing
  50: wesleylouback (Brazil), still playing
  51: xandefp (Brazil), still playing
  52: Gabrielfs13 (Brazil), 
  53: cmarsh999 [2] (United Kingdom), 
  54: onlydrunkreg [2] (Brazil), 
  55: hotshotknick (Sweden), 
  56: degue11 [2] (Brazil), 
  57: Tcanarchy (Belgium), 
  58: 4kingfish4u (United Kingdom), 
  59: onlydrunkreg (Brazil), 
  60: KAC2804 (Morocco), 
  61: Mé féin [2] (Finland), 
  62: Amiralsanji (Sweden), 
  63: brabaja (Sweden), 
  64: JohnD.Admirl [2] (Malta), 
  65: Núbia (Brazil), 
  66: cmarsh999 (United Kingdom), 
  67: fosil128 (Argentina), 
  68: JohnD.Admirl (Malta), 
  69: rooney346 (United Kingdom), 
  70: uhrskoven (Denmark), 
  71: degue11 (Brazil), 
  72: Kartajana (United Kingdom), 
  73: Mé féin (Finland), 
  74: Robinho2611 (United Kingdom), 
You finished the tournament (eliminated at hand #257075455453).


