PokerStars Tournament #3911958623, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
575 players
Total Prize Pool: $2760.00 USD 
Tournament started 2025/07/25 14:15:00 BRT [2025/07/25 13:15:00 ET]

  1: 2SO_Scomparim [2] (Brazil), still playing
  2: 2ToneRebell (Bulgaria), still playing
  3: 420)ZUMA (Brazil), still playing
  4: 94' Nucks [2] (Canada), still playing
  5: A.Martinns (Brazil), still playing
  6: AQsuit (Switzerland), still playing
  7: Afioni643 [2] (Greece), still playing
  8: Afro Inn (Switzerland), still playing
  9: AggroSloth90 (Belarus), still playing
  10: Agrarand (Denmark), still playing
  11: Aidusia1 (Lithuania), still playing
  12: Alex Murakam (Brazil), still playing
  13: AllSaidAndDone (Malta), still playing
  14: AndersonLimapb (Brazil), still playing
  15: AureCai (Argentina), still playing
  16: AyrtonAA95 (Brazil), still playing
  17: Bazinga23CRF (Brazil), still playing
  18: Becks2372 (Belgium), still playing
  19: Berg17480 (Sweden), still playing
  20: BrieucDeg0203 (Belgium), still playing
  21: Cei90 (United Kingdom), still playing
  22: ChaseTyler14 (Canada), still playing
  23: ChoboPokeR_r (United Kingdom), still playing
  24: Chufffa (Ukraine), still playing
  25: Clandestin07 (Brazil), still playing
  26: CocolinoShow (Romania), still playing
  27: D. Achilles (Brazil), still playing
  28: DIE HARD M.P (Greece), still playing
  29: Deighy1 (United Kingdom), still playing
  30: DelijaVL [2] (Slovenia), still playing
  31: Dembezoide [2] (Chile), still playing
  32: DennDecken (Luxembourg), still playing
  33: Diegobatisti (Brazil), still playing
  34: DonCell0404 (Germany), still playing
  35: Dorian_k2 (Moldova), still playing
  36: Dwingvatt (United Kingdom), still playing
  37: ElTigr0 (Belgium), still playing
  38: Emersonzz12 (Brazil), still playing
  39: Emokarnickel (Germany), still playing
  40: Erä_Koira (Finland), still playing
  41: Fischer85 (Denmark), still playing
  42: GASPAR131066 (Brazil), still playing
  43: GF5000 (United Kingdom), still playing
  44: GJLuta (Belarus), still playing
  45: GambleBorgi (Germany), still playing
