PokerStars Tournament #3911960312, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
589 players
Total Prize Pool: $5772.20 USD 
Tournament started 2025/07/25 14:00:00 BRT [2025/07/25 13:00:00 ET]

  1: 1unaissalabl (Germany), still playing
  2: 420)ZUMA (Brazil), still playing
  3: 4ndrain1 (Estonia), still playing
  4: A.Martinns (Brazil), still playing
  5: AQsuit (Switzerland), still playing
  6: Alex Murakam (Brazil), still playing
  7: AnteroBH (Brazil), still playing
  8: ArceHR [2] (Brazil), still playing
  9: Avgå alla! (Sweden), still playing
  10: BKA83 [2] (Germany), still playing
  11: BKUN2000 (Brazil), still playing
  12: Bertuqui420 (Brazil), still playing
  13: Boon501 (United Kingdom), still playing
  14: Bump&Flex (United Kingdom), still playing
  15: Cebolaa490 (Brazil), still playing
  16: Collateral77 (Bulgaria), still playing
  17: DALLAS_AKT (Brazil), still playing
  18: DIOGDEB (Luxembourg), still playing
  19: Der Besen (Denmark), still playing
  20: Diogo0702 (Brazil), still playing
  21: DizzleG23 (United Kingdom), still playing
  22: Dj Tony 69 (Argentina), still playing
  23: El Ganador64 (Austria), still playing
  24: Fuuuuuuull (Brazil), still playing
  25: G.Cirnee (Brazil), still playing
  26: Gamblex21 (Belgium), still playing
  27: Ganjabriel (Chile), still playing
  28: Gaz8725 (United Kingdom), still playing
  29: Gibraltarian [2] (United Kingdom), still playing
  30: HPTHerd [2] (Germany), still playing
  31: Havaianas 43-44 [2] (Brazil), still playing
  32: Jay nuts bcc (Greece), still playing
  33: Jay129869 (United Kingdom), still playing
  34: JefersonBonfim (Brazil), still playing
  35: Jonnnyxd (Brazil), still playing
  36: Juhuli97 [2] (Finland), still playing
  37: Kats11311 (Canada), still playing
  38: Keaf_1993 (Switzerland), still playing
  39: Keule668 [3] (Germany), still playing
  40: Kliby007 (Switzerland), still playing
  41: Lastinho13 (Brazil), still playing
  42: Lico HC (Brazil), still playing
  43: MWCHESS (Brazil), still playing
  44: MatheusBT1992 (Brazil), still playing
  45: McLovin1308 (Austria), still playing
  46: MosquitoGG [2] (Brazil), still playing
  47: NEADY05 (United Kingdom), still playing
  48: Nikolov95 (Bulgaria), still playing
  49: NoxoPoker [2] (Brazil), still playing
  50: OZARKDD (Finland), still playing
  51: Odbball (United Kingdom), still playing
  52: Pachekowski (Brazil), still playing
  53: PlinioFerraz (Brazil), still playing
  54: PoisonMaster99 (Argentina), still playing
  55: Polsk2601 (Brazil), still playing
  56: Psicodanger (Brazil), still playing
  57: RaBBiiTGiiRL (Sweden), still playing
  58: Random WaIk [2] (Malta), still playing
  59: S.FILTH (Ukraine), still playing
  60: SCORALB (Romania), still playing
  61: SanayCASINO (Ukraine), still playing
  62: SebastioS (Austria), still playing
  63: SergeySil83 [2] (Belarus), still playing
  64: Skrivar (Romania), still playing
  65: Stoffels212 (Brazil), still playing
  66: Taracus195 (Sweden), still playing
  67: TheColdShelby (Brazil), still playing
  68: TheSaluki (Malta), still playing
  69: TiagoY (Brazil), still playing
  70: Toad9862 [2] (Sweden), still playing
  71: Toratti (Brazil), still playing
  72: Treabamurdara (United Kingdom), still playing
  73: Turk366 (Canada), still playing
  74: Ubbegubbe [2] (Sweden), still playing
  75: VNvieira28 (Brazil), still playing
  76: VSSobrinho (Brazil), still playing
  77: VeganMan420 (United Kingdom), still playing
  78: Vinivs09 (Brazil), still playing
  79: Vueroko (Germany), still playing
  80: WhosAndDelilah (Switzerland), still playing
  81: Xeniya Becker (Germany), still playing
  82: YuriPróPoker (Brazil), still playing
  83: _Miazakii_ (Brazil), still playing
  84: afra1414 (Canada), still playing
  85: ajugar1 (Chile), still playing
  86: alexkov1 (Belarus), still playing
  87: alpik peto (Slovakia), still playing
  88: baddexter24 (Switzerland), still playing
  89: blostaco (Brazil), still playing
  90: buddyman222 (Canada), still playing
  91: chaavees (Brazil), still playing
  92: clavito691 (Argentina), still playing
  93: csmala77 (Brazil), still playing
  94: curacfacu (Argentina), still playing
  95: devv100 [2] (United Kingdom), still playing
  96: dieforme007 (Belgium), still playing
  97: dukedurden (Germany), still playing
  98: felagoa (Brazil), still playing
  99: fm_strategy [2] (Romania), still playing
  100: ftmb90 (United Kingdom), still playing
  101: gem1973 (United Kingdom), still playing
  102: georgiosting [2] (United Kingdom), still playing
  103: gladiado408 (Brazil), still playing
  104: gwenny_078 (Belgium), still playing
  105: gytmiyashiro (Brazil), still playing
  106: kachumban (Argentina), still playing
  107: koshmaar (Estonia), still playing
  108: lenschmon (Germany), still playing
  109: leoleo05 (Brazil), still playing
  110: marcioemer1 (Brazil), still playing
  111: marklezs (Brazil), still playing
  112: mateusneydia (Brazil), still playing
  113: mazzma [3] (Sweden), still playing
  114: mcarre (Belgium), still playing
  115: nAzA_cabj12 (Argentina), still playing
  116: onvys (Canada), still playing
  117: oxide8888 (Brazil), still playing
  118: papazucas (Brazil), still playing
  119: pembsgwhizz (United Kingdom), still playing
  120: perrynell (Romania), still playing
  121: peu-20tt (Brazil), still playing
  122: plzjustHOLD (United Kingdom), still playing
  123: pokererg (Canada), still playing
  124: pookah4life [2] (Sweden), still playing
