PokerStars Tournament #3914012687, No Limit Hold'em
Buy-In: $15.50/$1.00 USD
71 players
Total Prize Pool: $1432.00 USD 
Tournament started 2025/08/01 17:45:00 BRT [2025/08/01 16:45:00 ET]

  1: AKZabo (Slovakia), still playing
  2: Batman9780 (Germany), still playing
  3: Cercsix (Ireland), still playing
  4: Dej420 (Canada), still playing
  5: Editors1974 (Switzerland), still playing
  6: FearOfSky (Ukraine), still playing
  7: HeySunGod (Greece), still playing
  8: Mackro888 (Germany), still playing
  9: Niceman63 (Luxembourg), still playing
  10: P0KER1HA1 (Finland), still playing
  11: Punkero147 (Finland), still playing
  12: SamSemilllia (Germany), still playing
  13: SkyScraper93 (Finland), still playing
  14: TIGHTPRO87 [2] (United Kingdom), still playing
  15: Taz1212235 (United Kingdom), still playing
  16: TheTheMAST3R (Greece), still playing
  17: ToxicFreak1 (Germany), still playing
  18: Valean Paula [2] (Romania), still playing
  19: WPTdibby (Canada), still playing
  20: X!DoMyBestX (Ukraine), still playing
  21: Zsipali (Hungary), still playing
  22: barcamessigoat (Sweden), still playing
  23: blizzardo888 (United Kingdom), still playing
  24: bläcky11111 (Austria), still playing
  25: caio_conrado13 (Brazil), still playing
  26: clocc195 (United Kingdom), still playing
  27: dalefranko (United Kingdom), still playing
  28: dedssantoss (Brazil), still playing
  29: dottorepeppino (Germany), still playing
  30: elle89 (Germany), still playing
  31: espo1995 (Belgium), still playing
  32: felipr (Brazil), still playing
  33: flipin4livin (Mexico), still playing
  34: garybhoy07 (United Kingdom), still playing
  35: gr-andi-oso3 (Greece), still playing
  36: irmusca1 (Germany), still playing
  37: j17nly (United Kingdom), still playing
  38: keyhell (Brazil), still playing
  39: lukebadass (Germany), still playing
  40: mgd85uk (United Kingdom), still playing
  41: mtjsn23 (Slovenia), still playing
  42: nikicius (Lithuania), still playing
  43: ninetysilver [2] (Kazakhstan), still playing
  44: oribubble (Belgium), still playing
  45: peteyy [2] (Finland), still playing
  46: psyphi29 (United Kingdom), still playing
  47: puggie06 (United Kingdom), still playing
  48: redsmilou [2] (Belgium), still playing
  49: rippchen1711 (Germany), still playing
  50: senia138 (Slovenia), still playing
  51: sirasss (Iceland), still playing
  52: smeralda87 (Germany), still playing
  53: steamingstack [2] (Switzerland), still playing
  54: the_snail03 (United Kingdom), still playing
  55: tommo68 (United Kingdom), still playing
  56: whymeyou (Finland), still playing
  57: wozzahwell (United Kingdom), still playing
  58: xKamikazix420 (Greece), still playing
  59: xkcdwbe (Denmark), still playing
  60: crazy_MD26 (Belarus), 
  61: Gabrielfs13 (Brazil), 
  62: Skirmantas16 (Lithuania), 
  63: TIGHTPRO87 (United Kingdom), 
  64: Genio-CSZ (Brazil), 
  65: steamingstack (Switzerland), 
  66: peteyy (Finland), 
  67: Juhuli97 (Finland), 
  68: ELinA1889 (Finland), 
  69: ninetysilver (Kazakhstan), 
  70: Valean Paula (Romania), 
  71: redsmilou (Belgium), 
You finished the tournament (eliminated at hand #257174908076).


