PokerStars Tournament #3914732068, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
48 players
Total Prize Pool: $560.00 USD 
Tournament started 2025/08/01 15:13:48 BRT [2025/08/01 14:13:48 ET]

  1: 8 BIT KING (United Kingdom), still playing
  2: Clutchdonk (Ireland), still playing
  3: DiMastodon (Brazil), still playing
  4: ELKICARAGUA (Brazil), still playing
  5: I AM LAGOSH (United Kingdom), still playing
  6: Just rag it (Ireland), still playing
  7: JustPro10 (Bulgaria), still playing
  8: Lorazaf (Greece), still playing
  9: N0Mistake91 (Germany), still playing
  10: Nickeboi97 (Sweden), still playing
  11: PsychOrwell (Germany), still playing
  12: Rolfaren (Sweden), still playing
  13: SWATofPOKER (United Kingdom), still playing
  14: SamucaGentilini (Brazil), still playing
  15: Sick_RiverNH (Ireland), still playing
  16: TOTO_VILKS (Latvia), still playing
  17: TareIte (Finland), still playing
  18: Toshiro_Koga (Brazil), still playing
  19: WPTdibby (Canada), still playing
  20: XxMvPokeRxX (Brazil), still playing
  21: andrewdaf (Ukraine), still playing
  22: badknife (Brazil), still playing
  23: browbotham (United Kingdom), still playing
  24: bü23 (Switzerland), still playing
  25: duvergersp (Belgium), still playing
  26: eaaeman (Brazil), still playing
  27: fabiomweide (Brazil), still playing
  28: henrique1906 (Brazil), still playing
  29: hulidelat (Ukraine), still playing
  30: jebbebebbe (Sweden), still playing
  31: johny_mac32 (Greece), still playing
  32: jonara13 (Greece), still playing
  33: juñior75 (Mexico), still playing
  34: kavalaris1 (Greece), still playing
  35: kevindelucci (Brazil), still playing
  36: kriso976 (Bulgaria), still playing
  37: littlebastard0 (Finland), still playing
  38: marioD76 (Germany), still playing
  39: matthewcaito20 (Sweden), still playing
  40: phaco21 (Belgium), still playing
  41: quique2017 (Argentina), still playing
  42: rafinhasuetomi (Brazil), still playing
  43: senia138 (Slovenia), still playing
  44: ubbax (Germany), still playing
  45: uran171 (Austria), still playing
  46: wheelerdk (Denmark), still playing
  47: Gabrielfs13 (Brazil), 
  48: Lybotin (Ukraine), 
You finished the tournament (eliminated at hand #257172954091).


