PokerStars Tournament #3914012689, No Limit Hold'em
Buy-In: $15.50/$1.00 USD
228 players
Total Prize Pool: $1710.00 USD 
Tournament started 2025/08/03 17:45:00 BRT [2025/08/03 16:45:00 ET]

  1: AntoniONik87 (Kazakhstan), still playing
  2: BadAntelope2.0 [2] (Denmark), still playing
  3: Bengdahl (Sweden), still playing
  4: Berkowitz33 (Brazil), still playing
  5: C0C0PoK$r (Argentina), still playing
  6: Dazzleflare (United Kingdom), still playing
  7: Dbabreu2 [3] (Ireland), still playing
  8: EstonianDonk [2] (Finland), still playing
  9: Guiga_Eller (Brazil), still playing
  10: HeavyNDark [2] (United Kingdom), still playing
  11: Hijodelmare (Brazil), still playing
  12: JucaItajai (Brazil), still playing
  13: JudeArrow (United Kingdom), still playing
  14: Juhuli97 (Finland), still playing
  15: LuanCaruso [2] (Brazil), still playing
  16: Lxxz (Brazil), still playing
  17: MT-Champs (Denmark), still playing
  18: Maverickmm86 (Germany), still playing
  19: Max Lundvall (Sweden), still playing
  20: Niceman63 (Luxembourg), still playing
  21: THE BAKER555 [2] (Denmark), still playing
  22: TIGHTPRO87 [2] (United Kingdom), still playing
  23: TYg00dBYE (Finland), still playing
  24: TorukMaktuson [3] (Brazil), still playing
  25: Tractorboy [2] (United Kingdom), still playing
  26: arrozsolto (Brazil), still playing
  27: belfastslim [2] (United Kingdom), still playing
  28: connareed95 (United Kingdom), still playing
  29: csmala77 [3] (Brazil), still playing
  30: feckinace (United Kingdom), still playing
  31: gutAoAllin (Brazil), still playing
  32: it5tricky (United Kingdom), still playing
  33: kerger1979 (Belgium), still playing
  34: kiR1966 (Greece), still playing
  35: koshmaar (Estonia), still playing
  36: lazerstars84 [2] (Germany), still playing
  37: mff1607 (Brazil), still playing
  38: mr.bluemi [3] (Germany), still playing
  39: njr5088 (Brazil), still playing
  40: pelese (Argentina), still playing
  41: pokerspideCH (Switzerland), still playing
  42: rafitia [2] (Brazil), still playing
  43: tiodompoker (Sweden), still playing
  44: vilde_oliven (Sweden), still playing
  45: wriggle123 (United Kingdom), still playing
  46: Gabrielfs13 (Brazil), 
  47: pitbull1955 (Germany), 
  48: Ploef818 [2] (Denmark), 
  49: zethay (Brazil), 
  50: peteyy (Finland), 
  51: Rafael_bahia (Brazil), 
  52: seman20 (Germany), 
  53: Jano244 (Germany), 
  54: Rey07x (Germany), 
