PokerStars Tournament #3914636153, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
448 players
Total Prize Pool: $5520.00 USD 
Tournament started 2025/08/05 17:30:00 BRT [2025/08/05 16:30:00 ET]

  1: $ampaioBruno (Brazil), still playing
  2: 1913_Gbr (Brazil), still playing
  3: 235795r (Brazil), still playing
  4: 2Picca232 [2] (Kazakhstan), still playing
  5: 7jujuba7 (Brazil), still playing
  6: AAndrewsKK (Brazil), still playing
  7: AGV AA90 [2] (Brazil), still playing
  8: ALEX_kingpk (Brazil), still playing
  9: ASA94 (Brazil), still playing
  10: Abarashow (Brazil), still playing
  11: AbulFadl (Estonia), still playing
  12: Adil Mussin (Kazakhstan), still playing
  13: AdrianoK20 (Belarus), still playing
  14: Alek$win (Ukraine), still playing
  15: AlexClaude (Canada), still playing
  16: AllanEM (Guatemala), still playing
  17: Alutis (Thailand), still playing
  18: Andre L971 [2] (Brazil), still playing
  19: Andssu10 (Brazil), still playing
  20: Antunes Gaa (Brazil), still playing
  21: AquiNãoNeném (Brazil), still playing
  22: BOCA950 (Brazil), still playing
  23: BR All-in-e (Brazil), still playing
  24: BambamDoBet (Brazil), still playing
  25: Bicycle1000 (Belarus), still playing
  26: Bonatto91 (Brazil), still playing
  27: Bufalo b (Brazil), still playing
  28: C0C0PoK$r (Argentina), still playing
  29: CAILLOU1488 (Ukraine), still playing
  30: CFlorian81 (Romania), still playing
  31: CHANCER808 (United Kingdom), still playing
  32: Cebola948 (Brazil), still playing
  33: Cebolaa490 (Brazil), still playing
  34: CesarAAnd (Brazil), still playing
  35: CheeDDou (Brazil), still playing
  36: ChristianBR4 (Brazil), still playing
  37: Clandestin07 (Brazil), still playing
  38: Colt882 (United Kingdom), still playing
  39: ConnorCuz (New Zealand), still playing
  40: Crumble777 (United Kingdom), still playing
  41: DEERV (Brazil), still playing
  42: DMerzhuk (Ukraine), still playing
  43: DOCTORSFF (Brazil), still playing
  44: DUFF MAN899 (Brazil), still playing
  45: Daniel110107 (Austria), still playing
  46: DarPun1 (Canada), still playing
  47: Demiciaano (Brazil), still playing
  48: Dezin2005 (Brazil), still playing
  49: Dja_JJ (Brazil), still playing
  50: Don_Kleber (Brazil), still playing
  51: DouglasNicol (Brazil), still playing
  52: Dr.Durrrq [2] (Latvia), still playing
  53: Drudz777 (Brazil), still playing
  54: Duraircwb (Brazil), still playing
  55: EOBIXXX (Brazil), still playing
  56: ElTalaJavi (Argentina), still playing
  57: ElconeJQ [2] (New Zealand), still playing
  58: Elreydelcasino (Argentina), still playing
  59: EmperorI (Malta), still playing
  60: Everton S704 (Brazil), still playing
  61: F Moraes 7 (Brazil), still playing
  62: FANCYCELERiO (United Kingdom), still playing
  63: Fabuloson (Brazil), still playing
  64: Falcaogol (Brazil), still playing
  65: Feerapoker (Brazil), still playing
  66: FelipeFig0 [2] (Brazil), still playing
  67: Felipe_mla$ (Brazil), still playing
  68: Felpssssss (Brazil), still playing
  69: Fernandoapm (Brazil), still playing
  70: FlipMaster08 (Brazil), still playing
  71: FoRm4T (Brazil), still playing
  72: FrançaW (Brazil), still playing
  73: GUNDIAS (Brazil), still playing
  74: GabrielMlongui (Brazil), still playing
  75: GabrielSMR (Brazil), still playing
  76: Gardosaa (Sweden), still playing
  77: Genio-CSZ (Brazil), still playing
  78: GeorgyV32 (Romania), still playing
  79: GeovanniReal (Brazil), still playing
  80: Gibamaks (Brazil), still playing
  81: Gisico50 (Denmark), still playing
  82: GoianoVix (Brazil), still playing
  83: Golf1ng_Nutt (United Kingdom), still playing
  84: Gostweb (Belarus), still playing
  85: Greenpear91 (Belarus), still playing
  86: Gutlaufen (Malta), still playing
  87: HamsterKevin (Thailand), still playing
  88: HaruoB (Brazil), still playing
  89: Hericiaceae (Uzbekistan), still playing
  90: High Goblin (Brazil), still playing
  91: Huitzi1opocht1i (Germany), still playing
  92: I.Falkovsky (Belarus), still playing
