PokerStars Tournament #3916936585, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
60 players
Total Prize Pool: $500.00 USD 
Tournament started 2025/08/08 15:33:52 BRT [2025/08/08 14:33:52 ET]

  1: 69ruby69 (Canada), still playing
  2: BananaJoe73 (Germany), still playing
  3: Chnapoepski (Belgium), still playing
  4: DiMastodon (Brazil), still playing
  5: FullhouseAAA33 (United Kingdom), still playing
  6: Geminiface (Germany), still playing
  7: GeriGe (Germany), still playing
  8: Griffindor7 (Germany), still playing
  9: J. VDB (5) (Belgium), still playing
  10: JKIST04 (Brazil), still playing
  11: JohnDough420 (Canada), still playing
  12: JxGx67 (Switzerland), still playing
  13: Khamul99 (Austria), still playing
  14: Lybotin (Ukraine), still playing
  15: Madu Ponte (Brazil), still playing
  16: NKJH (Finland), still playing
  17: Núbia (Brazil), still playing
  18: PlinioFerraz (Brazil), still playing
  19: R3al_Grind3r (Denmark), still playing
  20: SuckOutK49 (Austria), still playing
  21: Sury8E (Mexico), still playing
  22: TJB717 (United Kingdom), still playing
  23: TOTO_VILKS (Latvia), still playing
  24: Winnerchicken96 (Denmark), still playing
  25: anup returns (United Kingdom), still playing
  26: bertola12 (Brazil), still playing
  27: bigstackstu (United Kingdom), still playing
  28: donderkat (Belgium), still playing
  29: fecorbacho (Brazil), still playing
  30: feerel10 (Argentina), still playing
  31: ilusca89 (United Kingdom), still playing
  32: jimbobdlh (United Kingdom), still playing
  33: jmcprn (Belgium), still playing
  34: jonara13 (Greece), still playing
  35: lapsakka (Finland), still playing
  36: lukstar79 (Germany), still playing
  37: mivi1991 [2] (Denmark), still playing
  38: o2a2b2 (Ireland), still playing
  39: onlydrunkreg (Brazil), still playing
  40: oskarlyx [2] (Sweden), still playing
  41: papai sinop (Brazil), still playing
  42: pokherdav210 (United Kingdom), still playing
  43: roggi1983 (Finland), still playing
  44: rpcruzeiro (Brazil), still playing
  45: szabarna (Romania), still playing
  46: ubbax (Germany), still playing
  47: vdammty1973 [2] (Germany), still playing
  48: vegeta_44244 (Germany), still playing
  49: water.boy.AW [2] (United Kingdom), still playing
  50: whyyouontilt (United Kingdom), still playing
  51: zeTakeda (Ukraine), still playing
  52: Gabrielfs13 (Brazil), 
  53: vdammty1973 (Germany), 
  54: naaysayer (Ukraine), 
  55: Cezy123 (Canada), 
  56: scofieldm25 (Slovenia), 
  57: mivi1991 (Denmark), 
  58: AQsuit (Switzerland), 
  59: water.boy.AW (United Kingdom), 
  60: oskarlyx (Sweden), 
You finished the tournament (eliminated at hand #257264618899).


