PokerStars Tournament #3916851149, No Limit Hold'em
Buy-In: $6.69/$0.81 USD
255 players
Total Prize Pool: $838.95 USD 
Tournament started 2025/08/13 15:50:00 BRT [2025/08/13 14:50:00 ET]

  1: 220o (South Korea), still playing
  2: 3SCristian (Brazil), still playing
  3: APL 03 (Brazil), still playing
  4: Bast-sart (Belgium), still playing
  5: Bastofthebunch (United Kingdom), still playing
  6: Belgianbeauf (Belgium), still playing
  7: BjarturD (Iceland), still playing
  8: Blueloom (Germany), still playing
  9: D0MAGE (Switzerland), still playing
  10: DCR7702 (Belgium), still playing
  11: Daniel Panka (Finland), still playing
  12: Dieter29 (Germany), still playing
  13: EOREYES661 (Mexico), still playing
  14: F1rs7onFlop (Bulgaria), still playing
  15: GoalieSchool (Canada), still playing
  16: Guanche Furioso (Ireland), still playing
  17: Hijodelmare (Brazil), still playing
  18: IgorDroid (Brazil), still playing
  19: JJanotka (Slovakia), still playing
  20: Jason5Bourne (Ukraine), still playing
  21: Jean D Carvalho (Brazil), still playing
  22: Joachimj18 (Denmark), still playing
  23: KeeperBrasil [2] (Brazil), still playing
  24: Ku4ti (Argentina), still playing
  25: LEJIMS93 (Belgium), still playing
  26: Lampis111 (Greece), still playing
  27: Louuuu2k (Ukraine), still playing
  28: LuxManus (Brazil), still playing
  29: M.Silva1991 (Brazil), still playing
  30: MABR1234 (Denmark), still playing
  31: Madruguinha (Brazil), still playing
  32: MahirTV (Germany), still playing
  33: MaxiJay-1409 (United Kingdom), still playing
  34: NRR75 (Romania), still playing
  35: Negrov22 (Argentina), still playing
  36: NoFace2114 (Switzerland), still playing
  37: NosferatuMarcex (United Kingdom), still playing
  38: Oakkin (Canada), still playing
  39: RamiRami1990 (Brazil), still playing
  40: ReGyLyR (Kazakhstan), still playing
  41: Robert mo998 (Brazil), still playing
  42: Rpfeitosa (Brazil), still playing
  43: San4hez (Belarus), still playing
  44: Skttlz (United Kingdom), still playing
  45: SlimShame (Belgium), still playing
  46: Stroika942 [2] (Germany), still playing
  47: T0bzen (Denmark), still playing
  48: Taloc61 [2] (Switzerland), still playing
  49: TareIte (Finland), still playing
  50: TweedleBeetl (Iceland), still playing
  51: VarokSaurfangAA [2] (Lithuania), still playing
  52: VitalyRostov (Kazakhstan), still playing
  53: Vulastik6 [2] (Germany), still playing
  54: XITÃOZINHO (Brazil), still playing
  55: XxMvPokeRxX (Brazil), still playing
  56: ackobar (United Kingdom), still playing
  57: af255 (Belarus), still playing
  58: akwebber (Brazil), still playing
  59: aoeuidhts (United Kingdom), still playing
  60: b00552805 [2] (Canada), still playing
  61: babay312 (Ukraine), still playing
  62: belyik88 (Belarus), still playing
  63: caipirinhaaa (Finland), still playing
  64: caleb02733 (United Kingdom), still playing
  65: cebolinha_rs [2] (Brazil), still playing
  66: chefglen12 (Canada), still playing
  67: chicoundnana82 (Germany), still playing
  68: chipie_jnr (United Kingdom), still playing
  69: chippenAA (Sweden), still playing
  70: chrisisakers [2] (Germany), still playing
  71: clbusby91 (United Kingdom), still playing
  72: collers (Slovenia), still playing
  73: cvetan80 (Bulgaria), still playing
  74: dimasO87 [2] (Ukraine), still playing
  75: dionysaida (Greece), still playing
  76: el henry17 (Argentina), still playing
  77: epsiliion195 (Mexico), still playing
  78: f3tz [2] (Germany), still playing
  79: filz90 (United Kingdom), still playing
  80: fionavator (United Kingdom), still playing
  81: fischfresse5682 (Germany), still playing
  82: fns1985 (Brazil), still playing
  83: golas 1 (United Kingdom), still playing
  84: heberto88 (Argentina), still playing
  85: hewer.roger (Brazil), still playing
  86: icik1981 [2] (Bulgaria), still playing
  87: jimmyahrons (Sweden), still playing
  88: jiraya013 (Brazil), still playing
  89: jokeerr66 (Brazil), still playing
  90: jum_gui (Brazil), still playing
  91: juni00R14 (Switzerland), still playing
  92: juniorbr25 (Brazil), still playing
  93: kargiola16 (Greece), still playing
  94: keyhell [2] (Brazil), still playing
  95: leduarte92 (Brazil), still playing
  96: lukebadass (Germany), still playing
  97: magicobraga666 (United Kingdom), still playing
  98: maksim.shunin (Germany), still playing
  99: manoel2007 (Brazil), still playing
  100: menba47 [2] (Panama), still playing
  101: naumraf (Ireland), still playing
  102: pajumancer (Sweden), still playing
  103: parliament32 (Argentina), still playing
  104: pavers88 (United Kingdom), still playing
  105: petrosant (Brazil), still playing
  106: pino6710 [2] (United Kingdom), still playing
  107: piqueflow (Brazil), still playing
  108: plum76 [2] (Germany), still playing
  109: polllllllll2 [2] (Argentina), still playing
  110: ryokale (Finland), still playing
  111: santiagogzz32 (Mexico), still playing
  112: sheardoo (United Kingdom), still playing
  113: skalar445 (Bulgaria), still playing
  114: smiledgk (Germany), still playing
  115: suckstupid86 (Germany), still playing
  116: tezzzzarrr (United Kingdom), still playing
  117: totten13 (Sweden), still playing
  118: tracedlines [2] (United Kingdom), still playing
  119: valicki23 (Brazil), still playing
  120: vel'koz lvl4 (Argentina), still playing
  121: xnibb (Sweden), still playing
  122: xotinh0 (Brazil), still playing
  123: xpretex (Germany), still playing
  124: Gabrielfs13 (Brazil), 
  125: cognosbr (Brazil), 
  126: KJ1909 [2] (Germany), 
  127: joaovfbarroso (Brazil), 
  128: Ribelz (Finland), 
  129: delverys (Ireland), 
  130: kanabal18 (United Kingdom), 
  131: JakobsLadder (Mexico), 
  132: chrisisakers (Germany), 
  133: Gunnar0707 (Sweden), 
  134: cer1987 (United Kingdom), 
  135: Huegelkoenig (Germany), 
  136: PMPokerMan (Brazil), 
  137: PSG123 [2] (Denmark), 
  138: BETSY2466 [2] (United Kingdom), 
  139: TotallyWired (United Kingdom), 
  140: KJ1909 (Germany), 
  141: Stroika942 (Germany), 
  142: 19pocoloco88 (Switzerland), 
  143: Jonnnyxd (Brazil), 
  144: cana'zim (Brazil), 
  145: icik1981 (Bulgaria), 
  146: ssslavosss [2] (Ukraine), 
  147: plum76 (Germany), 
  148: 1Seryoga85 (Ukraine), 
  149: AlekseiNorel (Ukraine), 
  150: w1nTr0Jlb (Ukraine), 
  151: 30/13-138 (Ukraine), 
  152: 800mRunnerBB (Germany), 
  153: Eaglov (Morocco), 
  154: rednick4 [2] (United Kingdom), 
  155: MauroSeifeR (Argentina), 
  156: Núbia (Brazil), 
  157: anãoo (Brazil), 
  158: fernandotkd (Brazil), 
  159: Freaky Sam (Lithuania), 
  160: henriqueschi (Brazil), 
  161: f3tz (Germany), 
  162: MyHorseRoxes (Canada), 
  163: Dirck77 (Belgium), 
  164: boidoido08 (Brazil), 
  165: VarokSaurfangAA (Lithuania), 
  166: AdiCri91 (Germany), 
  167: KBCAGG (Brazil), 
  168: menba47 (Panama), 
  169: JesperEmil [2] (Denmark), 
  170: stygian9999 (Slovakia), 
  171: Léopolina10 (Brazil), 
  172: nomadmonkey999 (Switzerland), 
  173: KeeperBrasil (Brazil), 
  174: 10lionel95 [2] (Germany), 
  175: andrey.rb25 (Belarus), 
  176: dan10dopoker (Brazil), 
  177: joelallemann (Switzerland), 
  178: omgitswilly (Brazil), 
  179: 3conqueror3 (Ukraine), 
  180: Guilherme Kulik (Brazil), 
  181: Maciek002201 [2] (Austria), 
  182: #499#499# (Sweden), 
  183: bullfisch [2] (Germany), 
  184: p01-k0 (Ukraine), 
  185: ssslavosss (Ukraine), 
  186: BETSY2466 (United Kingdom), 
  187: z1nfandell (United Kingdom), 
  188: Dentada_23 (Argentina), 
  189: thibess (Brazil), 
  190: ninobomba014 [2] (Chile), 
  191: Taloc61 (Switzerland), 
  192: BB-BAZ08 (United Kingdom), 
  193: Maciek002201 (Austria), 
  194: punta2336 [2] (Brazil), 
  195: Hovakim123 (Armenia), 
  196: Kari7721 (Ukraine), 
  197: zloy_00 (Ukraine), 
  198: gabessa (Brazil), 
  199: DanWinBig420 [2] (United Kingdom), 
  200: Serezha9607 (Belarus), 
  201: Ryanh6668 (United Kingdom), 
  202: Taraskis (Ukraine), 
  203: bilbao1 (Greece), 
  204: gpap241182 (Greece), 
  205: joh.manetta (Brazil), 
  206: JesperEmil (Denmark), 
  207: polllllllll2 (Argentina), 
  208: rednick4 (United Kingdom), 
  209: Anaken74 (Argentina), 
  210: Belatrix39 (Brazil), 
  211: VIMAN-XXI [2] (Mexico), 
  212: ninobomba014 (Chile), 
  213: b00552805 (Canada), 
  214: DanWinBig420 (United Kingdom), 
  215: cebolinha_rs (Brazil), 
  216: K4K4K4 (Germany), 
  217: onlydrunkreg (Brazil), 
