PokerStars Tournament #3918385314, No Limit Hold'em
Buy-In: $3.92/$0.48 USD
385 players
Total Prize Pool: $1509.20 USD 
Tournament started 2025/08/14 14:15:00 BRT [2025/08/14 13:15:00 ET]

  1: #1 Piero Conti (Chile), still playing
  2: 29jack04 (Canada), still playing
  3: 4 KING L M8 (United Kingdom), still playing
  4: 98'skillzz (Argentina), still playing
  5: ALLinho1010 [2] (Brazil), still playing
  6: ATM SMASHER (Canada), still playing
  7: AndAleixo (Brazil), still playing
  8: Aprofox (Bulgaria), still playing
  9: Arun4z (Lithuania), still playing
  10: Babydaun (Latvia), still playing
  11: Bené991 (Brazil), still playing
  12: Binimausi (Germany), still playing
  13: Bird_Lives_93 (Ireland), still playing
  14: BlackoutDragon [2] (United Kingdom), still playing
  15: Bluf_To_Much (Moldova), still playing
  16: Boots FWAW (United Kingdom), still playing
  17: CarefullyChosen (Brazil), still playing
  18: Cosmina66288 (Romania), still playing
  19: CristianQ87 [2] (Romania), still playing
  20: D. Achilles (Brazil), still playing
  21: Deichrapper (Germany), still playing
  22: Dezin2005 (Brazil), still playing
  23: DiLTJB (Brazil), still playing
  24: Dieginho86 [2] (Switzerland), still playing
  25: Dja_JJ (Brazil), still playing
  26: Dodi0425 (Hungary), still playing
  27: Drogan31 (Germany), still playing
  28: Eggman999 (Germany), still playing
  29: EgonPotter (United Kingdom), still playing
  30: Ellson-12 (Brazil), still playing
  31: Emersonzz12 (Brazil), still playing
  32: Farpa (Brazil), still playing
  33: Fiorato (Brazil), still playing
  34: GHSE00011364 (Germany), still playing
  35: GMTalleyrand (United Kingdom), still playing
  36: GabrielBamm (Brazil), still playing
  37: GabrielFonsc (Brazil), still playing
  38: Ginnyginnginn (United Kingdom), still playing
  39: GreeceMeUp (Greece), still playing
  40: Grenat1228 (Switzerland), still playing
  41: Guii-FPOLIS (Brazil), still playing
  42: GustavoWSOP (Brazil), still playing
  43: Hanibul (United Kingdom), still playing
  44: Higgahman [2] (Sweden), still playing
  45: Iefenos (Brazil), still playing
  46: Instructor62 (United Kingdom), still playing
  47: JBizzle193 (United Kingdom), still playing
  48: Jay240581 [2] (Germany), still playing
  49: Juanma-PP506 (United Kingdom), still playing
  50: JumalSander (Estonia), still playing
  51: Jx1510z [2] (Brazil), still playing
  52: K4F_Rambo_ (Brazil), still playing
  53: Kaprizov97 [2] (Finland), still playing
  54: Kaskarteia [2] (Brazil), still playing
  55: Kullio HGW [2] (Germany), still playing
  56: L.Giangiulio [2] (Brazil), still playing
  57: Laranja98 (Brazil), still playing
  58: LielaisPeteris (Latvia), still playing
  59: Limbaar (Finland), still playing
  60: Madicken22 (Sweden), still playing
  61: MauroSeifeR (Argentina), still playing
  62: Max Lundvall (Sweden), still playing
  63: Mr. Diggo (Brazil), still playing
  64: MrTanghe (Belgium), still playing
  65: NJWMX [2] (South Korea), still playing
  66: Nikolov95 (Bulgaria), still playing
  67: Nilmarx3 (Brazil), still playing
  68: Núbia (Brazil), still playing
  69: OR1917mimohh (Bulgaria), still playing
  70: Oger88 (Germany), still playing
  71: OutsideHuman (Estonia), still playing
